#Energy      Pb  Total
         61.0000          8.05700641E+02          8.05700641E+02
         62.0000          7.93166541E+02          7.93166541E+02
         63.0000          7.81030444E+02          7.81030444E+02
         64.0000          7.69273719E+02          7.69273719E+02
         65.0000          7.57878885E+02          7.57878885E+02
         66.0000          7.46829515E+02          7.46829515E+02
         67.0000          7.36110163E+02          7.36110163E+02
         68.0000          7.25706293E+02          7.25706293E+02
         69.0000          7.15604208E+02          7.15604208E+02
         70.0000          7.05790993E+02          7.05790993E+02
         71.0000          6.96254460E+02          6.96254460E+02
         72.0000          6.86983098E+02          6.86983098E+02
         73.0000          6.77966026E+02          6.77966026E+02
         74.0000          6.69192949E+02          6.69192949E+02
         75.0000          6.60654123E+02          6.60654123E+02
         76.0000          6.52340313E+02          6.52340313E+02
         77.0000          6.44242767E+02          6.44242767E+02
         78.0000          6.36353178E+02          6.36353178E+02
         79.0000          6.28663661E+02          6.28663661E+02
         80.0000          6.21166724E+02          6.21166724E+02
         81.0000          6.13855244E+02          6.13855244E+02
         82.0000          6.06722446E+02          6.06722446E+02
         83.0000          5.99761882E+02          5.99761882E+02
         84.0000          5.92967409E+02          5.92967409E+02
         85.0000          5.86333173E+02          5.86333173E+02
         86.0000          5.79853593E+02          5.79853593E+02
         87.0000          5.73523342E+02          5.73523342E+02
         88.0000          5.67337338E+02          5.67337338E+02
         89.0000          5.61290725E+02          5.61290725E+02
         89.9990          5.55384710E+02          5.55384710E+02
         90.0000          5.55378864E+02          5.55378864E+02
         90.0010          5.55373018E+02          5.55373018E+02
         91.0000          5.49597317E+02          5.49597317E+02
         92.0000          5.43941842E+02          5.43941842E+02
         93.0000          5.38408377E+02          5.38408377E+02
         94.0000          5.32993034E+02          5.32993034E+02
         95.0000          5.27692088E+02          5.27692088E+02
         96.0000          5.22501968E+02          5.22501968E+02
         97.0000          5.17419252E+02          5.17419252E+02
         98.0000          5.12440656E+02          5.12440656E+02
         99.0000          5.07563029E+02          5.07563029E+02
        100.0000          5.02783346E+02          5.02783346E+02
        110.0000          4.59786494E+02          4.59786494E+02
        110.9990          4.55918814E+02          4.55918814E+02
        111.0010          4.55911141E+02          4.55911141E+02
        120.0000          4.23991323E+02          4.23991323E+02
        130.0000          3.93737631E+02          3.93737631E+02
        140.0000          3.67839071E+02          3.67839071E+02
        143.9990          3.58498290E+02          3.58498290E+02
        144.0010          3.58493750E+02          3.58493750E+02
        147.9990          3.49665321E+02          3.49665321E+02
        148.0010          3.49661025E+02          3.49661025E+02
        150.0000          3.45425331E+02          3.45425331E+02
        152.9990          3.39280679E+02          3.39280679E+02
        153.0010          3.39276663E+02          3.39276663E+02
        160.0000          3.25843456E+02          3.25843456E+02
        170.0000          3.08593976E+02          3.08593976E+02
        180.0000          2.93288302E+02          2.93288302E+02
        190.0000          2.79619580E+02          2.79619580E+02
        200.0000          2.67342269E+02          2.67342269E+02
        210.0000          2.56257557E+02          2.56257557E+02
        220.0000          2.46202752E+02          2.46202752E+02
        230.0000          2.37043432E+02          2.37043432E+02
        240.0000          2.28667565E+02          2.28667565E+02
        250.0000          2.20981031E+02          2.20981031E+02
        260.0000          2.13904184E+02          2.13904184E+02
        270.0000          2.07369169E+02          2.07369169E+02
        280.0000          2.01317821E+02          2.01317821E+02
        290.0000          1.95699995E+02          1.95699995E+02
        300.0000          1.90472232E+02          1.90472232E+02
        310.0000          1.85596677E+02          1.85596677E+02
        320.0000          1.81040208E+02          1.81040208E+02
        330.0000          1.76773716E+02          1.76773716E+02
        340.0000          1.72771521E+02          1.72771521E+02
        350.0000          1.69010874E+02          1.69010874E+02
        360.0000          1.65471556E+02          1.65471556E+02
        370.0000          1.62135536E+02          1.62135536E+02
        380.0000          1.58986681E+02          1.58986681E+02
        390.0000          1.56010514E+02          1.56010514E+02
        400.0000          1.53194005E+02          1.53194005E+02
        410.0000          1.50525400E+02          1.50525400E+02
        418.9990          1.48241550E+02          1.48241550E+02
        419.0010          1.48241054E+02          1.48241054E+02
        420.0000          1.47994063E+02          1.47994063E+02
        430.0000          1.45590348E+02          1.45590348E+02
        440.0000          1.43305489E+02          1.43305489E+02
        440.9990          1.43083448E+02          1.43083448E+02
        441.0010          1.43083005E+02          1.43083005E+02
        450.0000          1.41131499E+02          1.41131499E+02
        460.0000          1.39061088E+02          1.39061088E+02
        470.0000          1.37087584E+02          1.37087584E+02
        480.0000          1.35204877E+02          1.35204877E+02
        490.0000          1.33407353E+02          1.33407353E+02
        500.0000          1.31689849E+02          1.31689849E+02
        510.0000          1.30047609E+02          1.30047609E+02
        520.0000          1.28476241E+02          1.28476241E+02
        530.0000          1.26971689E+02          1.26971689E+02
        540.0000          1.25530196E+02          1.25530196E+02
        550.0000          1.24148279E+02          1.24148279E+02
        560.0000          1.22822705E+02          1.22822705E+02
        570.0000          1.21550469E+02          1.21550469E+02
        580.0000          1.20328773E+02          1.20328773E+02
        590.0000          1.19155010E+02          1.19155010E+02
        600.0000          1.18026747E+02          1.18026747E+02
        610.0000          1.16941712E+02          1.16941712E+02
        620.0000          1.15897780E+02          1.15897780E+02
        630.0000          1.14892960E+02          1.14892960E+02
        640.0000          1.13925388E+02          1.13925388E+02
        650.0000          1.12993313E+02          1.12993313E+02
        650.9990          1.12902085E+02          1.12902085E+02
        651.0010          1.12901903E+02          1.12901903E+02
        660.0000          1.12095094E+02          1.12095094E+02
        670.0000          1.11229185E+02          1.11229185E+02
        680.0000          1.10394133E+02          1.10394133E+02
        690.0000          1.09588570E+02          1.09588570E+02
        700.0000          1.08811206E+02          1.08811206E+02
        710.0000          1.08060824E+02          1.08060824E+02
        720.0000          1.07336276E+02          1.07336276E+02
        730.0000          1.06636475E+02          1.06636475E+02
        740.0000          1.05960396E+02          1.05960396E+02
        750.0000          1.05307067E+02          1.05307067E+02
        760.0000          1.04675568E+02          1.04675568E+02
        768.9990          1.04125223E+02          1.04125223E+02
        769.0010          1.04125103E+02          1.04125103E+02
        770.0000          1.04065028E+02          1.04065028E+02
        780.0000          1.03474620E+02          1.03474620E+02
        790.0000          1.02903559E+02          1.02903559E+02
        800.0000          1.02351101E+02          1.02351101E+02
        810.0000          1.01816537E+02          1.01816537E+02
        820.0000          1.01299195E+02          1.01299195E+02
        830.0000          1.00798433E+02          1.00798433E+02
        840.0000          1.00313643E+02          1.00313643E+02
        850.0000          9.98442427E+01          9.98442427E+01
        860.0000          9.93896799E+01          9.93896799E+01
        870.0000          9.89494264E+01          9.89494264E+01
        880.0000          9.85229786E+01          9.85229786E+01
        890.0000          9.81098557E+01          9.81098557E+01
        898.9990          9.77490976E+01          9.77490976E+01
        899.0010          9.77490186E+01          9.77490186E+01
        900.0000          9.77095987E+01          9.77095987E+01
        910.0000          9.73217687E+01          9.73217687E+01
        920.0000          9.69459464E+01          9.69459464E+01
        930.0000          9.65817303E+01          9.65817303E+01
        940.0000          9.62287365E+01          9.62287365E+01
        950.0000          9.58865974E+01          9.58865974E+01
        960.0000          9.55549608E+01          9.55549608E+01
        970.0000          9.52334891E+01          9.52334891E+01
        980.0000          9.49218590E+01          9.49218590E+01
        990.0000          9.46197601E+01          9.46197601E+01
       1000.0000          9.43268946E+01          9.43268946E+01
       1100.0000          9.18484106E+01          9.18484106E+01
       1200.0000          9.00389917E+01          9.00389917E+01
       1300.0000          8.87367686E+01          8.87367686E+01
       1400.0000          8.78268372E+01          8.78268372E+01
       1500.0000          8.72254971E+01          8.72254971E+01
       1600.0000          8.68704198E+01          8.68704198E+01
       1700.0000          8.67143035E+01          8.67143035E+01
       1800.0000          8.67206524E+01          8.67206524E+01
       1900.0000          8.68608973E+01          8.68608973E+01
       2000.0000          8.71123854E+01          8.71123854E+01
       2100.0000          8.74569493E+01          8.74569493E+01
       2200.0000          8.78798689E+01          8.78798689E+01
       2300.0000          8.83691080E+01          8.83691080E+01
       2400.0000          8.89147420E+01          8.89147420E+01
       2489.9990          8.94471809E+01          8.94471809E+01
       2490.0010          8.94471932E+01          8.94471932E+01
       2500.0000          8.95085264E+01          8.95085264E+01
       2591.9990          9.00913798E+01          9.00913798E+01
       2592.0010          9.00913928E+01          9.00913928E+01
       2600.0000          9.01435647E+01          9.01435647E+01
       2700.0000          9.08140520E+01          9.08140520E+01
       2800.0000          9.15150741E+01          9.15150741E+01
       2900.0000          9.22424487E+01          9.22424487E+01
       3000.0000          9.29925995E+01          9.29925995E+01
       3071.9990          9.35450612E+01          9.35450612E+01
       3072.0010          9.35450767E+01          9.35450767E+01
       3100.0000          9.37624542E+01          9.37624542E+01
       3200.0000          9.45493628E+01          9.45493628E+01
       3300.0000          9.53510309E+01          9.53510309E+01
       3400.0000          9.61654649E+01          9.61654649E+01
       3500.0000          9.69909269E+01          9.69909269E+01
       3559.9990          9.74908488E+01          9.74908488E+01
       3560.0010          9.74908656E+01          9.74908656E+01
       3600.0000          9.78258972E+01          9.78258972E+01
       3700.0000          9.86690433E+01          9.86690433E+01
       3800.0000          9.95191940E+01          9.95191940E+01
       3856.9990          1.00006505E+02          1.00006505E+02
       3857.0010          1.00006522E+02          1.00006522E+02
       3900.0000          1.00375317E+02          1.00375317E+02
       4000.0000          1.01236500E+02          1.01236500E+02
       4100.0000          1.02101938E+02          1.02101938E+02
       4200.0000          1.02970914E+02          1.02970914E+02
       4300.0000          1.03842793E+02          1.03842793E+02
       4400.0000          1.04717011E+02          1.04717011E+02
       4500.0000          1.05593063E+02          1.05593063E+02
       4600.0000          1.06470501E+02          1.06470501E+02
       4700.0000          1.07348923E+02          1.07348923E+02
       4800.0000          1.08227972E+02          1.08227972E+02
       4900.0000          1.09107326E+02          1.09107326E+02
       5000.0000          1.09986698E+02          1.09986698E+02
       5100.0000          1.10865832E+02          1.10865832E+02
       5200.0000          1.11744496E+02          1.11744496E+02
       5300.0000          1.12622484E+02          1.12622484E+02
       5400.0000          1.13499610E+02          1.13499610E+02
       5500.0000          1.14375709E+02          1.14375709E+02
       5600.0000          1.15250631E+02          1.15250631E+02
       5700.0000          1.16124243E+02          1.16124243E+02
       5800.0000          1.16996424E+02          1.16996424E+02
       5900.0000          1.17867068E+02          1.17867068E+02
       6000.0000          1.18736080E+02          1.18736080E+02
       6100.0000          1.19603372E+02          1.19603372E+02
       6200.0000          1.20468869E+02          1.20468869E+02
       6300.0000          1.21332503E+02          1.21332503E+02
       6400.0000          1.22194213E+02          1.22194213E+02
       6500.0000          1.23053946E+02          1.23053946E+02
       6600.0000          1.23911654E+02          1.23911654E+02
       6700.0000          1.24767296E+02          1.24767296E+02
       6800.0000          1.25620835E+02          1.25620835E+02
       6900.0000          1.26472239E+02          1.26472239E+02
       7000.0000          1.27321481E+02          1.27321481E+02
       7100.0000          1.28168536E+02          1.28168536E+02
       7200.0000          1.29013385E+02          1.29013385E+02
       7300.0000          1.29856010E+02          1.29856010E+02
       7400.0000          1.30696397E+02          1.30696397E+02
       7500.0000          1.31534534E+02          1.31534534E+02
       7600.0000          1.32370413E+02          1.32370413E+02
       7700.0000          1.33204027E+02          1.33204027E+02
       7800.0000          1.34035371E+02          1.34035371E+02
       7900.0000          1.34864442E+02          1.34864442E+02
       8000.0000          1.35691238E+02          1.35691238E+02
       8100.0000          1.36515759E+02          1.36515759E+02
       8200.0000          1.37338008E+02          1.37338008E+02
       8300.0000          1.38157987E+02          1.38157987E+02
       8400.0000          1.38975700E+02          1.38975700E+02
       8500.0000          1.39791152E+02          1.39791152E+02
       8600.0000          1.40604349E+02          1.40604349E+02
       8700.0000          1.41415297E+02          1.41415297E+02
       8800.0000          1.42224005E+02          1.42224005E+02
       8900.0000          1.43030480E+02          1.43030480E+02
       9000.0000          1.43834732E+02          1.43834732E+02
       9100.0000          1.44636770E+02          1.44636770E+02
       9200.0000          1.45436604E+02          1.45436604E+02
       9300.0000          1.46234245E+02          1.46234245E+02
       9400.0000          1.47029703E+02          1.47029703E+02
       9500.0000          1.47822990E+02          1.47822990E+02
       9600.0000          1.48614117E+02          1.48614117E+02
       9700.0000          1.49403097E+02          1.49403097E+02
       9800.0000          1.50189941E+02          1.50189941E+02
       9900.0000          1.50974662E+02          1.50974662E+02
      10000.0000          1.51757272E+02          1.51757272E+02
      11000.0000          1.59470167E+02          1.59470167E+02
      12000.0000          1.66986562E+02          1.66986562E+02
      13000.0000          1.74319652E+02          1.74319652E+02
      13040.9990          1.74616575E+02          1.74616575E+02
      13041.0010          1.74616589E+02          1.74616589E+02
      14000.0000          1.81481937E+02          1.81481937E+02
      15000.0000          1.88484937E+02          1.88484937E+02
      15205.9990          1.89908739E+02          1.89908739E+02
      15206.0010          1.89908753E+02          1.89908753E+02
      15866.9990          1.94435754E+02          1.94435754E+02
      15867.0010          1.94435768E+02          1.94435768E+02
      16000.0000          1.95339141E+02          1.95339141E+02
      17000.0000          2.02054038E+02          2.02054038E+02
      18000.0000          2.08638194E+02          2.08638194E+02
      19000.0000          2.15099345E+02          2.15099345E+02
      20000.0000          2.21444484E+02          2.21444484E+02
      21000.0000          2.27679944E+02          2.27679944E+02
      22000.0000          2.33811476E+02          2.33811476E+02
      23000.0000          2.39844315E+02          2.39844315E+02
      24000.0000          2.45783239E+02          2.45783239E+02
      25000.0000          2.51632621E+02          2.51632621E+02
      26000.0000          2.57396476E+02          2.57396476E+02
      27000.0000          2.63078493E+02          2.63078493E+02
      28000.0000          2.68682081E+02          2.68682081E+02
      29000.0000          2.74210388E+02          2.74210388E+02
      30000.0000          2.79666332E+02          2.79666332E+02
      31000.0000          2.85052625E+02          2.85052625E+02
      32000.0000          2.90371792E+02          2.90371792E+02
      33000.0000          2.95626187E+02          2.95626187E+02
      34000.0000          3.00818011E+02          3.00818011E+02
      35000.0000          3.05949326E+02          3.05949326E+02
      36000.0000          3.11022065E+02          3.11022065E+02
      37000.0000          3.16038047E+02          3.16038047E+02
      38000.0000          3.20998981E+02          3.20998981E+02
      39000.0000          3.25906482E+02          3.25906482E+02
      40000.0000          3.30762073E+02          3.30762073E+02
      41000.0000          3.35567194E+02          3.35567194E+02
      42000.0000          3.40323211E+02          3.40323211E+02
      43000.0000          3.45031417E+02          3.45031417E+02
      44000.0000          3.49693040E+02          3.49693040E+02
      45000.0000          3.54309250E+02          3.54309250E+02
      46000.0000          3.58881157E+02          3.58881157E+02
      47000.0000          3.63409821E+02          3.63409821E+02
      48000.0000          3.67896253E+02          3.67896253E+02
      49000.0000          3.72341417E+02          3.72341417E+02
      50000.0000          3.76746237E+02          3.76746237E+02
      88010.9990          5.20626671E+02          5.20626671E+02
      88011.0010          5.20626677E+02          5.20626677E+02
