#Energy      Sr   Ti   O  Total
         62.0000          1.59311726E+02          4.13477769E+01          5.59316875E+00          4.77893537E+00
         63.0000          1.57284624E+02          4.10535522E+01          5.63391584E+00          4.80277944E+00
         63.9990          1.55324240E+02          4.07707562E+01          5.67479653E+00          4.82664382E+00
         64.0000          1.55322309E+02          4.07704786E+01          5.67483754E+00          4.82666773E+00
         64.0010          1.55320378E+02          4.07702009E+01          5.67487854E+00          4.82669164E+00
         65.0000          1.53421806E+02          4.04980439E+01          5.71592506E+00          4.85059351E+00
         66.0000          1.51580315E+02          4.02357669E+01          5.75717015E+00          4.87455055E+00
         67.0000          1.49795206E+02          3.99831945E+01          5.79856507E+00          4.89853306E+00
         68.0000          1.48064001E+02          3.97399003E+01          5.84010250E+00          4.92253569E+00
         69.0000          1.46384367E+02          3.95054824E+01          5.88177558E+00          4.94655347E+00
         70.0000          1.44754102E+02          3.92795615E+01          5.92357782E+00          4.97058180E+00
         71.0000          1.43171128E+02          3.90617796E+01          5.96550311E+00          4.99461642E+00
         72.0000          1.41633483E+02          3.88517985E+01          6.00754567E+00          5.01865334E+00
         73.0000          1.40139311E+02          3.86492981E+01          6.04970005E+00          5.04268891E+00
         74.0000          1.38686855E+02          3.84539759E+01          6.09196110E+00          5.06671971E+00
         75.0000          1.37274454E+02          3.82655450E+01          6.13432392E+00          5.09074258E+00
         76.0000          1.35900532E+02          3.80837337E+01          6.17678391E+00          5.11475459E+00
         77.0000          1.34563596E+02          3.79082842E+01          6.21933669E+00          5.13875302E+00
         78.0000          1.33262226E+02          3.77389520E+01          6.26197811E+00          5.16273535E+00
         79.0000          1.31995079E+02          3.75755045E+01          6.30470422E+00          5.18669925E+00
         80.0000          1.30760873E+02          3.74177211E+01          6.34751131E+00          5.21064254E+00
         81.0000          1.29558394E+02          3.72653918E+01          6.39039581E+00          5.23456323E+00
         82.0000          1.28386484E+02          3.71183166E+01          6.43335437E+00          5.25845946E+00
         83.0000          1.27244041E+02          3.69763054E+01          6.47638377E+00          5.28232952E+00
         84.0000          1.26130017E+02          3.68391769E+01          6.51948097E+00          5.30617181E+00
         85.0000          1.25043410E+02          3.67067582E+01          6.56264306E+00          5.32998488E+00
         86.0000          1.23983269E+02          3.65788846E+01          6.60586729E+00          5.35376738E+00
         87.0000          1.22948681E+02          3.64553988E+01          6.64915102E+00          5.37751805E+00
         88.0000          1.21938778E+02          3.63361506E+01          6.69249174E+00          5.40123575E+00
         89.0000          1.20952731E+02          3.62209965E+01          6.73588706E+00          5.42491943E+00
         90.0000          1.19989746E+02          3.61097993E+01          6.77933470E+00          5.44856811E+00
         91.0000          1.19049065E+02          3.60024279E+01          6.82283247E+00          5.47218090E+00
         92.0000          1.18129961E+02          3.58987569E+01          6.86637831E+00          5.49575700E+00
         93.0000          1.17231741E+02          3.57986660E+01          6.90997021E+00          5.51929566E+00
         94.0000          1.16353739E+02          3.57020403E+01          6.95360629E+00          5.54279619E+00
         95.0000          1.15495318E+02          3.56087695E+01          6.99728472E+00          5.56625800E+00
         96.0000          1.14655867E+02          3.55187480E+01          7.04100378E+00          5.58968051E+00
         97.0000          1.13834800E+02          3.54318744E+01          7.08476179E+00          5.61306322E+00
         98.0000          1.13031556E+02          3.53480516E+01          7.12855717E+00          5.63640569E+00
         99.0000          1.12245595E+02          3.52671861E+01          7.17238839E+00          5.65970750E+00
        100.0000          1.11476400E+02          3.51891885E+01          7.21625400E+00          5.68296829E+00
        110.0000          1.04606060E+02          3.45495515E+01          7.65652021E+00          5.91326727E+00
        120.0000          9.89682482E+01          3.41198493E+01          8.09899357E+00          6.13930694E+00
        130.0000          9.42784233E+01          3.38508373E+01          8.54290748E+00          6.36114454E+00
        136.9990          9.14486463E+01          3.37388916E+01          8.85416984E+00          6.51399512E+00
        137.0010          9.14478843E+01          3.37388674E+01          8.85425883E+00          6.51403852E+00
        138.9990          9.06991113E+01          3.37168279E+01          8.94317672E+00          6.55731955E+00
        139.0010          9.06983741E+01          3.37168079E+01          8.94326574E+00          6.55736279E+00
        140.0000          9.03331246E+01          3.37073195E+01          8.98773329E+00          6.57894555E+00
        150.0000          8.69830191E+01          3.36634865E+01          9.43309911E+00          6.79292576E+00
        160.0000          8.41160311E+01          3.36999937E+01          9.87873924E+00          7.00331957E+00
        170.0000          8.16464116E+01          3.38020653E+01          1.03244616E+01          7.21036271E+00
        180.0000          7.95074433E+01          3.39582285E+01          1.07701260E+01          7.41428309E+00
        190.0000          7.76464437E+01          3.41594455E+01          1.12156298E+01          7.61529611E+00
        200.0000          7.60212637E+01          3.43985054E+01          1.16608977E+01          7.81360271E+00
        210.0000          7.45977844E+01          3.46695885E+01          1.21058743E+01          8.00938880E+00
        220.0000          7.33480956E+01          3.49679499E+01          1.25505194E+01          8.20282553E+00
        230.0000          7.22491477E+01          3.52896856E+01          1.29948040E+01          8.39407001E+00
        240.0000          7.12817406E+01          3.56315559E+01          1.34387078E+01          8.58326623E+00
        250.0000          7.04297543E+01          3.59908526E+01          1.38822170E+01          8.77054607E+00
        260.0000          6.96795576E+01          3.63652956E+01          1.43253226E+01          8.95603027E+00
        270.0000          6.90195466E+01          3.67529532E+01          1.47680199E+01          9.13982945E+00
        272.9990          6.88376650E+01          3.68715350E+01          1.49007048E+01          9.19463776E+00
        273.0010          6.88375460E+01          3.68716145E+01          1.49007933E+01          9.19467426E+00
        280.0000          6.84397835E+01          3.71521795E+01          1.52103068E+01          9.32204500E+00
        282.9990          6.82802435E+01          3.72739463E+01          1.53428686E+01          9.37639686E+00
        283.0010          6.82801393E+01          3.72740278E+01          1.53429570E+01          9.37643306E+00
        290.0000          6.79317088E+01          3.75615642E+01          1.56521835E+01          9.50276990E+00
        300.0000          6.74879116E+01          3.79798931E+01          1.60936520E+01          9.68208954E+00
        310.0000          6.71019444E+01          3.84061161E+01          1.65347159E+01          9.86008238E+00
        320.0000          6.67681719E+01          3.88393209E+01          1.69753794E+01          1.00368206E+01
        330.0000          6.64816482E+01          3.92787118E+01          1.74156478E+01          1.02123708E+01
        340.0000          6.62380151E+01          3.97235926E+01          1.78555267E+01          1.03867942E+01
        350.0000          6.60334179E+01          4.01733516E+01          1.82950223E+01          1.05601476E+01
        360.0000          6.58644351E+01          4.06274498E+01          1.87341411E+01          1.07324831E+01
        360.9990          6.58493902E+01          4.06730338E+01          1.87779886E+01          1.07496454E+01
        361.0010          6.58493604E+01          4.06731251E+01          1.87780764E+01          1.07496798E+01
        370.0000          6.57280200E+01          4.10854108E+01          1.91728896E+01          1.09038494E+01
        380.0000          6.56214510E+01          4.15468125E+01          1.96112745E+01          1.10742914E+01
        390.0000          6.55422897E+01          4.20112796E+01          2.00493026E+01          1.12438507E+01
        400.0000          6.54883458E+01          4.24784780E+01          2.04869808E+01          1.14125661E+01
        410.0000          6.54576458E+01          4.29481091E+01          2.09243157E+01          1.15804736E+01
        420.0000          6.54484079E+01          4.34199057E+01          2.13613139E+01          1.17476067E+01
        430.0000          6.54590193E+01          4.38936285E+01          2.17979821E+01          1.19139967E+01
        440.0000          6.54880165E+01          4.43690622E+01          2.22343267E+01          1.20796730E+01
        450.0000          6.55340694E+01          4.48460130E+01          2.26703541E+01          1.22446626E+01
        458.9990          6.55890886E+01          4.52763733E+01          2.30624690E+01          1.23925711E+01
        459.0010          6.55891021E+01          4.52764691E+01          2.30625561E+01          1.23926039E+01
        460.0000          6.55959656E+01          4.53243063E+01          2.31060704E+01          1.24089914E+01
        464.9990          6.56324978E+01          4.55638586E+01          2.33237702E+01          1.24908990E+01
        465.0010          6.56325132E+01          4.55639545E+01          2.33238573E+01          1.24909317E+01
        470.0000          6.56725990E+01          4.58037844E+01          2.35414817E+01          1.25726830E+01
        480.0000          6.57629575E+01          4.62843046E+01          2.39765939E+01          1.27357601E+01
        490.0000          6.58661142E+01          4.67657377E+01          2.44114129E+01          1.28982437E+01
        500.0000          6.59812181E+01          4.72479665E+01          2.48459442E+01          1.30601536E+01
        510.0000          6.61074873E+01          4.77308846E+01          2.52801933E+01          1.32215085E+01
        520.0000          6.62442016E+01          4.82143953E+01          2.57141656E+01          1.33823260E+01
        530.0000          6.63906969E+01          4.86984104E+01          2.61478663E+01          1.35426227E+01
        537.9990          6.65145061E+01          4.90858832E+01          2.64945913E+01          1.36704796E+01
        538.0010          6.65145378E+01          4.90859801E+01          2.64946779E+01          1.36705115E+01
        540.0000          6.65463602E+01          4.91828499E+01          2.65813003E+01          1.37024142E+01
        550.0000          6.67106243E+01          4.96676406E+01          2.70144726E+01          1.38617152E+01
        560.0000          6.68829643E+01          5.01527157E+01          2.74473881E+01          1.40205399E+01
        566.9990          6.70081272E+01          5.04923562E+01          2.77502352E+01          1.41314251E+01
        567.0010          6.70081634E+01          5.04924533E+01          2.77503217E+01          1.41314567E+01
        570.0000          6.70628933E+01          5.06380144E+01          2.78800512E+01          1.41789015E+01
        580.0000          6.72499596E+01          5.11234809E+01          2.83124665E+01          1.43368125E+01
        590.0000          6.74437430E+01          5.16090643E+01          2.87446384E+01          1.44942850E+01
        600.0000          6.76438528E+01          5.20947179E+01          2.91765711E+01          1.46513301E+01
        610.0000          6.78499250E+01          5.25803992E+01          2.96082688E+01          1.48079587E+01
        620.0000          6.80616201E+01          5.30660690E+01          3.00397355E+01          1.49641811E+01
        630.0000          6.82786212E+01          5.35516915E+01          3.04709751E+01          1.51200070E+01
        640.0000          6.85006322E+01          5.40372339E+01          3.09019914E+01          1.52754458E+01
        650.0000          6.87273762E+01          5.45226662E+01          3.13327880E+01          1.54305063E+01
        660.0000          6.89585939E+01          5.50079607E+01          3.17633685E+01          1.55851969E+01
        670.0000          6.91940423E+01          5.54930922E+01          3.21937365E+01          1.57395260E+01
        680.0000          6.94334936E+01          5.59780375E+01          3.26238953E+01          1.58935011E+01
        690.0000          6.96767340E+01          5.64627754E+01          3.30538483E+01          1.60471298E+01
        700.0000          6.99235624E+01          5.69472864E+01          3.34835985E+01          1.62004191E+01
        710.0000          7.01737901E+01          5.74315526E+01          3.39131492E+01          1.63533758E+01
        720.0000          7.04272393E+01          5.79155577E+01          3.43425034E+01          1.65060067E+01
        730.0000          7.06837427E+01          5.83992868E+01          3.47716640E+01          1.66583178E+01
        740.0000          7.09431426E+01          5.88827262E+01          3.52006339E+01          1.68103154E+01
        750.0000          7.12052902E+01          5.93658633E+01          3.56294159E+01          1.69620051E+01
        760.0000          7.14700454E+01          5.98486868E+01          3.60580127E+01          1.71133926E+01
        770.0000          7.17372757E+01          6.03311862E+01          3.64864270E+01          1.72644834E+01
        780.0000          7.20068559E+01          6.08133519E+01          3.69146614E+01          1.74152825E+01
        790.0000          7.22786678E+01          6.12951755E+01          3.73427184E+01          1.75657950E+01
        800.0000          7.25525993E+01          6.17766489E+01          3.77706004E+01          1.77160258E+01
        810.0000          7.28285447E+01          6.22577651E+01          3.81983099E+01          1.78659795E+01
        820.0000          7.31064035E+01          6.27385177E+01          3.86258492E+01          1.80156606E+01
        830.0000          7.33860807E+01          6.32189008E+01          3.90532205E+01          1.81650735E+01
        840.0000          7.36674862E+01          6.36989091E+01          3.94804261E+01          1.83142224E+01
        850.0000          7.39505346E+01          6.41785380E+01          3.99074682E+01          1.84631114E+01
        860.0000          7.42351446E+01          6.46577833E+01          4.03343488E+01          1.86117444E+01
        870.0000          7.45212392E+01          6.51366412E+01          4.07610701E+01          1.87601253E+01
        880.0000          7.48087454E+01          6.56151084E+01          4.11876339E+01          1.89082578E+01
        890.0000          7.50975934E+01          6.60931821E+01          4.16140424E+01          1.90561455E+01
        900.0000          7.53877172E+01          6.65708596E+01          4.20402974E+01          1.92037919E+01
        910.0000          7.56790539E+01          6.70481387E+01          4.24664009E+01          1.93512003E+01
        920.0000          7.59715435E+01          6.75250177E+01          4.28923545E+01          1.94983741E+01
        930.0000          7.62651291E+01          6.80014949E+01          4.33181602E+01          1.96453165E+01
        940.0000          7.65597564E+01          6.84775690E+01          4.37438197E+01          1.97920305E+01
        950.0000          7.68553736E+01          6.89532389E+01          4.41693346E+01          1.99385193E+01
        960.0000          7.71519315E+01          6.94285039E+01          4.45947067E+01          2.00847857E+01
        970.0000          7.74493829E+01          6.99033633E+01          4.50199376E+01          2.02308326E+01
        980.0000          7.77476830E+01          7.03778168E+01          4.54450289E+01          2.03766629E+01
        990.0000          7.80467891E+01          7.08518642E+01          4.58699821E+01          2.05222791E+01
       1000.0000          7.83466601E+01          7.13255054E+01          4.62947989E+01          2.06676841E+01
       1100.0000          8.13796596E+01          7.60396764E+01          5.05357720E+01          2.21106493E+01
       1200.0000          8.44553939E+01          8.07141221E+01          5.47645587E+01          2.35349714E+01
       1300.0000          8.75535559E+01          8.53503589E+01          5.89822561E+01          2.49424799E+01
       1400.0000          9.06606845E+01          8.99502225E+01          6.31897740E+01          2.63346778E+01
       1500.0000          9.37677168E+01          9.45156388E+01          6.73878767E+01          2.77128256E+01
       1600.0000          9.68684923E+01          9.90485069E+01          7.15772130E+01          2.90779970E+01
       1700.0000          9.99588093E+01          1.03550641E+02          7.57583391E+01          3.04311191E+01
       1800.0000          1.03035812E+02          1.08023746E+02          7.99317365E+01          3.17730010E+01
       1900.0000          1.06097585E+02          1.12469407E+02          8.40978247E+01          3.31043550E+01
       1942.9990          1.07409104E+02          1.14372929E+02          8.58870472E+01          3.36737472E+01
       1943.0010          1.07409165E+02          1.14373017E+02          8.58871303E+01          3.36737737E+01
       2000.0000          1.09142876E+02          1.16889090E+02          8.82569721E+01          3.44258135E+01
       2009.9990          1.09446435E+02          1.17329639E+02          8.86724765E+01          3.45574243E+01
       2010.0010          1.09446495E+02          1.17329727E+02          8.86725596E+01          3.45574506E+01
       2100.0000          1.12170905E+02          1.21284148E+02          9.24095045E+01          3.57379416E+01
       2200.0000          1.15181234E+02          1.25655826E+02          9.65557113E+01          3.70412471E+01
       2218.9990          1.15751147E+02          1.26483854E+02          9.73427559E+01          3.72879034E+01
       2219.0010          1.15751207E+02          1.26483941E+02          9.73428387E+01          3.72879293E+01
       2300.0000          1.18173669E+02          1.30005272E+02          1.00695851E+02          3.83361888E+01
       2400.0000          1.21148191E+02          1.34333545E+02          1.04830156E+02          3.96231830E+01
       2500.0000          1.24104911E+02          1.38641621E+02          1.08958837E+02          4.09026095E+01
       2600.0000          1.27044030E+02          1.42930401E+02          1.13082082E+02          4.21748153E+01
       2700.0000          1.29965814E+02          1.47200720E+02          1.17200065E+02          4.34401193E+01
       2800.0000          1.32870573E+02          1.51453350E+02          1.21312943E+02          4.46988151E+01
       2900.0000          1.35758647E+02          1.55689008E+02          1.25420861E+02          4.59511739E+01
       3000.0000          1.38630396E+02          1.59908362E+02          1.29523950E+02          4.71974468E+01
       3100.0000          1.41486190E+02          1.64112031E+02          1.33622334E+02          4.84378668E+01
       3200.0000          1.44326406E+02          1.68300595E+02          1.37716125E+02          4.96726511E+01
       3300.0000          1.47151418E+02          1.72474595E+02          1.41805427E+02          5.09020019E+01
       3400.0000          1.49961600E+02          1.76634535E+02          1.45890338E+02          5.21261084E+01
       3500.0000          1.52757318E+02          1.80780890E+02          1.49970947E+02          5.33451476E+01
       3600.0000          1.55538933E+02          1.84914105E+02          1.54047339E+02          5.45592855E+01
       3700.0000          1.58306796E+02          1.89034596E+02          1.58119593E+02          5.57686783E+01
       3800.0000          1.61061248E+02          1.93142758E+02          1.62187782E+02          5.69734728E+01
       3900.0000          1.63802623E+02          1.97238960E+02          1.66251975E+02          5.81738075E+01
       4000.0000          1.66531242E+02          2.01323551E+02          1.70312236E+02          5.93698130E+01
       4100.0000          1.69247417E+02          2.05396862E+02          1.74368628E+02          6.05616127E+01
       4200.0000          1.71951450E+02          2.09459204E+02          1.78421207E+02          6.17493238E+01
       4300.0000          1.74643630E+02          2.13510873E+02          1.82470028E+02          6.29330568E+01
       4400.0000          1.77324241E+02          2.17552149E+02          1.86515142E+02          6.41129171E+01
       4500.0000          1.79993552E+02          2.21583297E+02          1.90556598E+02          6.52890043E+01
       4600.0000          1.82651826E+02          2.25604570E+02          1.94594442E+02          6.64614134E+01
       4700.0000          1.85299314E+02          2.29616207E+02          1.98628718E+02          6.76302350E+01
       4800.0000          1.87936261E+02          2.33618437E+02          2.02659466E+02          6.87955550E+01
       4900.0000          1.90562901E+02          2.37611476E+02          2.06686728E+02          6.99574556E+01
       4969.9990          1.92395511E+02          2.40401208E+02          2.09503716E+02          7.07687821E+01
       4970.0010          1.92395564E+02          2.40401287E+02          2.09503796E+02          7.07688052E+01
       5000.0000          1.93179460E+02          2.41595534E+02          2.10710539E+02          7.11160153E+01
       5100.0000          1.95786156E+02          2.45570806E+02          2.14730937E+02          7.22713090E+01
       5200.0000          1.98383201E+02          2.49537483E+02          2.18747956E+02          7.34234084E+01
       5300.0000          2.00970797E+02          2.53495744E+02          2.22761627E+02          7.45723822E+01
       5400.0000          2.03549141E+02          2.57445764E+02          2.26771983E+02          7.57182959E+01
       5500.0000          2.06118421E+02          2.61387706E+02          2.30779054E+02          7.68612127E+01
       5600.0000          2.08678821E+02          2.65321729E+02          2.34782868E+02          7.80011929E+01
       5700.0000          2.11230516E+02          2.69247987E+02          2.38783453E+02          7.91382947E+01
       5800.0000          2.13773678E+02          2.73166623E+02          2.42780836E+02          8.02725737E+01
       5900.0000          2.16308471E+02          2.77077779E+02          2.46775041E+02          8.14040835E+01
       6000.0000          2.18835055E+02          2.80981588E+02          2.50766093E+02          8.25328758E+01
       6100.0000          2.21353582E+02          2.84878180E+02          2.54754015E+02          8.36590000E+01
       6200.0000          2.23864203E+02          2.88767679E+02          2.58738831E+02          8.47825042E+01
       6300.0000          2.26367060E+02          2.92650206E+02          2.62720562E+02          8.59034342E+01
       6400.0000          2.28862294E+02          2.96525875E+02          2.66699229E+02          8.70218346E+01
       6500.0000          2.31350040E+02          3.00394797E+02          2.70674852E+02          8.81377482E+01
       6600.0000          2.33830428E+02          3.04257079E+02          2.74647451E+02          8.92512164E+01
       6700.0000          2.36303584E+02          3.08112825E+02          2.78617045E+02          9.03622791E+01
       6800.0000          2.38769632E+02          3.11962135E+02          2.82583652E+02          9.14709750E+01
       6900.0000          2.41228690E+02          3.15805105E+02          2.86547289E+02          9.25773415E+01
       7000.0000          2.43680874E+02          3.19641827E+02          2.90507975E+02          9.36814145E+01
       7100.0000          2.46126296E+02          3.23472392E+02          2.94465724E+02          9.47832291E+01
       7200.0000          2.48565063E+02          3.27296887E+02          2.98420555E+02          9.58828192E+01
       7300.0000          2.50997282E+02          3.31115396E+02          3.02372481E+02          9.69802174E+01
       7400.0000          2.53423054E+02          3.34928000E+02          3.06321518E+02          9.80754556E+01
       7500.0000          2.55842480E+02          3.38734779E+02          3.10267682E+02          9.91685645E+01
       7600.0000          2.58255654E+02          3.42535808E+02          3.14210985E+02          1.00259574E+02
       7700.0000          2.60662672E+02          3.46331162E+02          3.18151442E+02          1.01348513E+02
       7800.0000          2.63063624E+02          3.50120913E+02          3.22089066E+02          1.02435410E+02
       7900.0000          2.65458599E+02          3.53905130E+02          3.26023871E+02          1.03520292E+02
       8000.0000          2.67847682E+02          3.57683881E+02          3.29955869E+02          1.04603185E+02
       8100.0000          2.70230959E+02          3.61457231E+02          3.33885072E+02          1.05684116E+02
       8200.0000          2.72608510E+02          3.65225245E+02          3.37811493E+02          1.06763109E+02
       8300.0000          2.74980414E+02          3.68987983E+02          3.41735142E+02          1.07840189E+02
       8400.0000          2.77346750E+02          3.72745508E+02          3.45656033E+02          1.08915379E+02
       8500.0000          2.79707592E+02          3.76497875E+02          3.49574175E+02          1.09988703E+02
       8600.0000          2.82063014E+02          3.80245144E+02          3.53489580E+02          1.11060182E+02
       8700.0000          2.84413087E+02          3.83987369E+02          3.57402259E+02          1.12129839E+02
       8800.0000          2.86757880E+02          3.87724603E+02          3.61312221E+02          1.13197695E+02
       8900.0000          2.89097462E+02          3.91456900E+02          3.65219476E+02          1.14263771E+02
       9000.0000          2.91431899E+02          3.95184311E+02          3.69124036E+02          1.15328087E+02
       9100.0000          2.93761256E+02          3.98906884E+02          3.73025908E+02          1.16390662E+02
       9200.0000          2.96085595E+02          4.02624669E+02          3.76925104E+02          1.17451517E+02
       9300.0000          2.98404978E+02          4.06337712E+02          3.80821631E+02          1.18510668E+02
       9400.0000          3.00719464E+02          4.10046060E+02          3.84715499E+02          1.19568136E+02
       9500.0000          3.03029113E+02          4.13749758E+02          3.88606718E+02          1.20623937E+02
       9600.0000          3.05333982E+02          4.17448849E+02          3.92495294E+02          1.21678089E+02
       9700.0000          3.07634126E+02          4.21143377E+02          3.96381238E+02          1.22730609E+02
       9800.0000          3.09929600E+02          4.24833382E+02          4.00264557E+02          1.23781513E+02
       9900.0000          3.12220458E+02          4.28518905E+02          4.04145259E+02          1.24830819E+02
      10000.0000          3.14506751E+02          4.32199987E+02          4.08023353E+02          1.25878541E+02
      11000.0000          3.37129303E+02          4.68774619E+02          4.46662461E+02          1.36271914E+02
      12000.0000          3.59345029E+02          5.04942745E+02          4.85048450E+02          1.46522013E+02
      13000.0000          3.81190859E+02          5.40732289E+02          5.23187299E+02          1.56640055E+02
