#Energy      Au   O  Total
         90.0000          6.37231733E+02          8.10587416E+00          8.00405893E+00
         90.9990          6.30637730E+02          8.15783128E+00          8.05365051E+00
         91.0000          6.30631202E+02          8.15788332E+00          8.05370017E+00
         91.0010          6.30624674E+02          8.15793536E+00          8.05374982E+00
         92.0000          6.24174674E+02          8.20994994E+00          8.10336405E+00
         93.0000          6.17857511E+02          8.26207165E+00          8.15304802E+00
         94.0000          6.11675271E+02          8.31424617E+00          8.20274963E+00
         95.0000          6.05623700E+02          8.36647134E+00          8.25246651E+00
         96.0000          5.99698719E+02          8.41874508E+00          8.30219643E+00
         97.0000          5.93896420E+02          8.47106539E+00          8.35193720E+00
         98.0000          5.88213052E+02          8.52343039E+00          8.40168676E+00
         99.0000          5.82645016E+02          8.57583824E+00          8.45144310E+00
        100.0000          5.77188857E+02          8.62828720E+00          8.50120431E+00
        110.0000          5.28110090E+02          9.15470207E+00          8.99871088E+00
        113.9990          5.10907169E+02          9.36601324E+00          9.19740527E+00
        114.0010          5.10898870E+02          9.36611901E+00          9.19750458E+00
        120.0000          4.87257594E+02          9.68375595E+00          9.49505133E+00
        130.0000          4.52735032E+02          1.02145323E+01          9.98915854E+00
        140.0000          4.23187287E+02          1.07463989E+01          1.04802636E+01
        150.0000          3.97620216E+02          1.12789112E+01          1.09677982E+01
        160.0000          3.75287945E+02          1.18117516E+01          1.14513341E+01
        170.0000          3.55619916E+02          1.23446901E+01          1.19305433E+01
        180.0000          3.38172231E+02          1.28775595E+01          1.24051720E+01
        190.0000          3.22594353E+02          1.34102369E+01          1.28750226E+01
        200.0000          3.08605787E+02          1.39426321E+01          1.33399412E+01
        210.0000          2.95979416E+02          1.44746790E+01          1.37998085E+01
        220.0000          2.84529385E+02          1.50063296E+01          1.42545330E+01
        230.0000          2.74102134E+02          1.55375491E+01          1.47040465E+01
        240.0000          2.64569678E+02          1.60683134E+01          1.51483000E+01
        250.0000          2.55824499E+02          1.65986057E+01          1.55872608E+01
        260.0000          2.47775609E+02          1.71284157E+01          1.60209103E+01
        270.0000          2.40345493E+02          1.76577373E+01          1.64492420E+01
        280.0000          2.33467706E+02          1.81865682E+01          1.68722600E+01
        290.0000          2.27084963E+02          1.87149086E+01          1.72899778E+01
        300.0000          2.21147619E+02          1.92427611E+01          1.77024172E+01
        310.0000          2.15612431E+02          1.97701297E+01          1.81096073E+01
        320.0000          2.10441562E+02          2.02970197E+01          1.85115835E+01
        330.0000          2.05601763E+02          2.08234371E+01          1.89083873E+01
        338.9990          2.01505131E+02          2.12967619E+01          1.92610877E+01
        339.0010          2.01504246E+02          2.12968670E+01          1.92611656E+01
        340.0000          2.01063695E+02          2.13493889E+01          1.93000652E+01
        350.0000          1.96801375E+02          2.18748823E+01          1.96866682E+01
        356.9990          1.93969746E+02          2.22424067E+01          1.99542622E+01
        357.0010          1.93968954E+02          2.22425117E+01          1.99543383E+01
        360.0000          1.92791708E+02          2.23999252E+01          2.00682516E+01
        370.0000          1.89014096E+02          2.29245253E+01          2.04448741E+01
        380.0000          1.85450113E+02          2.34486908E+01          2.08165977E+01
        390.0000          1.82083221E+02          2.39724297E+01          2.11834871E+01
        400.0000          1.78898541E+02          2.44957500E+01          2.15456094E+01
        410.0000          1.75882644E+02          2.50186600E+01          2.19030339E+01
        420.0000          1.73023384E+02          2.55411674E+01          2.22558316E+01
        430.0000          1.70309744E+02          2.60632802E+01          2.26040751E+01
        440.0000          1.67731713E+02          2.65850061E+01          2.29478381E+01
        450.0000          1.65280168E+02          2.71063527E+01          2.32871955E+01
        460.0000          1.62946783E+02          2.76273273E+01          2.36222229E+01
        470.0000          1.60723942E+02          2.81479373E+01          2.39529964E+01
        480.0000          1.58604664E+02          2.86681897E+01          2.42795926E+01
        490.0000          1.56582539E+02          2.91880914E+01          2.46020883E+01
        500.0000          1.54651671E+02          2.97076492E+01          2.49205605E+01
        510.0000          1.52806630E+02          3.02268696E+01          2.52350859E+01
        520.0000          1.51042402E+02          3.07457590E+01          2.55457411E+01
        530.0000          1.49354353E+02          3.12643236E+01          2.58526023E+01
        537.9990          1.48056031E+02          3.16788936E+01          2.60953805E+01
        538.0010          1.48055711E+02          3.16789973E+01          2.60954409E+01
        540.0000          1.47738196E+02          3.17825694E+01          2.61557456E+01
        547.9990          1.46494501E+02          3.21968887E+01          2.63956039E+01
        548.0010          1.46494196E+02          3.21969922E+01          2.63956636E+01
        550.0000          1.46189952E+02          3.23005023E+01          2.64552460E+01
        560.0000          1.44705931E+02          3.28181280E+01          2.67511784E+01
        570.0000          1.43282703E+02          3.33354520E+01          2.70436166E+01
        580.0000          1.41917072E+02          3.38524798E+01          2.73326339E+01
        590.0000          1.40606063E+02          3.43692165E+01          2.76183026E+01
        600.0000          1.39346899E+02          3.48856672E+01          2.79006942E+01
        610.0000          1.38136986E+02          3.54018369E+01          2.81798791E+01
        620.0000          1.36973897E+02          3.59177304E+01          2.84559269E+01
        630.0000          1.35855362E+02          3.64333524E+01          2.87289060E+01
        640.0000          1.34779252E+02          3.69487073E+01          2.89988838E+01
        644.9990          1.34256581E+02          3.72062345E+01          2.91327412E+01
        645.0010          1.34256374E+02          3.72063375E+01          2.91327946E+01
        650.0000          1.33743569E+02          3.74637996E+01          2.92659265E+01
        660.0000          1.32746440E+02          3.79786336E+01          2.95300994E+01
        670.0000          1.31786100E+02          3.84932134E+01          2.97914665E+01
        680.0000          1.30860892E+02          3.90075431E+01          3.00500907E+01
        690.0000          1.29969253E+02          3.95216266E+01          3.03060336E+01
        700.0000          1.29109713E+02          4.00354678E+01          3.05593558E+01
        710.0000          1.28280883E+02          4.05490704E+01          3.08101166E+01
        720.0000          1.27481452E+02          4.10624380E+01          3.10583743E+01
        730.0000          1.26710181E+02          4.15755742E+01          3.13041857E+01
        740.0000          1.25965899E+02          4.20884823E+01          3.15476066E+01
        750.0000          1.25247499E+02          4.26011658E+01          3.17886918E+01
        760.0000          1.24553932E+02          4.31136279E+01          3.20274946E+01
        763.9990          1.24283300E+02          4.33185002E+01          3.21223647E+01
        764.0010          1.24283166E+02          4.33186027E+01          3.21224121E+01
        770.0000          1.23884201E+02          4.36258718E+01          3.22640673E+01
        780.0000          1.23237366E+02          4.41379005E+01          3.24984611E+01
        790.0000          1.22612530E+02          4.46497171E+01          3.27307260E+01
        800.0000          1.22008844E+02          4.51613245E+01          3.29609107E+01
        810.0000          1.21425501E+02          4.56727256E+01          3.31890631E+01
        820.0000          1.20861733E+02          4.61839232E+01          3.34152298E+01
        830.0000          1.20316810E+02          4.66949200E+01          3.36394564E+01
        840.0000          1.19790036E+02          4.72057186E+01          3.38617873E+01
        850.0000          1.19280749E+02          4.77163217E+01          3.40822660E+01
        860.0000          1.18788318E+02          4.82267317E+01          3.43009349E+01
        870.0000          1.18312142E+02          4.87369512E+01          3.45178354E+01
        880.0000          1.17851646E+02          4.92469826E+01          3.47330078E+01
        890.0000          1.17406283E+02          4.97568281E+01          3.49464915E+01
        900.0000          1.16975528E+02          5.02664902E+01          3.51583250E+01
        910.0000          1.16558882E+02          5.07759709E+01          3.53685457E+01
        920.0000          1.16155866E+02          5.12852726E+01          3.55771903E+01
        930.0000          1.15766024E+02          5.17943974E+01          3.57842944E+01
        940.0000          1.15388917E+02          5.23033474E+01          3.59898927E+01
        950.0000          1.15024126E+02          5.28121245E+01          3.61940191E+01
        960.0000          1.14671251E+02          5.33207309E+01          3.63967068E+01
        970.0000          1.14329906E+02          5.38291684E+01          3.65979878E+01
        980.0000          1.13999723E+02          5.43374390E+01          3.67978937E+01
        990.0000          1.13680349E+02          5.48455445E+01          3.69964550E+01
       1000.0000          1.13371444E+02          5.53534868E+01          3.71937016E+01
       1100.0000          1.10792509E+02          6.04243081E+01          3.90999016E+01
       1200.0000          1.08970902E+02          6.54805584E+01          4.09023548E+01
       1300.0000          1.07722394E+02          7.05235494E+01          4.26206927E+01
       1400.0000          1.06916303E+02          7.55543692E+01          4.42700941E+01
       1500.0000          1.06457509E+02          8.05739314E+01          4.58623428E+01
       1600.0000          1.06275241E+02          8.55830118E+01          4.74066405E+01
       1700.0000          1.06315837E+02          9.05822756E+01          4.89102223E+01
       1800.0000          1.06537933E+02          9.55722983E+01          5.03788208E+01
       1900.0000          1.06909183E+02          1.00553582E+02          5.18170153E+01
       2000.0000          1.07403965E+02          1.05526566E+02          5.32284944E+01
       2100.0000          1.08001753E+02          1.10491641E+02          5.46162551E+01
       2200.0000          1.08685939E+02          1.15449153E+02          5.59827534E+01
       2209.9990          1.08758557E+02          1.15944450E+02          5.61183016E+01
       2210.0010          1.08758572E+02          1.15944549E+02          5.61183287E+01
       2294.9990          1.09403549E+02          1.20152016E+02          5.72630724E+01
       2295.0010          1.09403564E+02          1.20152115E+02          5.72630992E+01
       2300.0000          1.09442956E+02          1.20399410E+02          5.73300196E+01
       2400.0000          1.10261635E+02          1.25342691E+02          5.86597466E+01
       2500.0000          1.11132707E+02          1.30279247E+02          5.99733575E+01
       2600.0000          1.12048434E+02          1.35209304E+02          6.12720594E+01
       2700.0000          1.13002310E+02          1.40133069E+02          6.25568838E+01
       2747.9990          1.13472063E+02          1.42494248E+02          6.31689234E+01
       2748.0010          1.13472083E+02          1.42494347E+02          6.31689488E+01
       2800.0000          1.13988836E+02          1.45050731E+02          6.38287199E+01
       2900.0000          1.15003341E+02          1.49962461E+02          6.50883394E+01
       3000.0000          1.16041838E+02          1.54868418E+02          6.63364177E+01
       3100.0000          1.17100908E+02          1.59768749E+02          6.75735498E+01
       3152.9990          1.17669521E+02          1.62363641E+02          6.82249622E+01
       3153.0010          1.17669543E+02          1.62363739E+02          6.82249867E+01
       3200.0000          1.18177606E+02          1.64663588E+02          6.88002634E+01
       3300.0000          1.19269390E+02          1.69553061E+02          7.00170299E+01
       3400.0000          1.20374055E+02          1.74437282E+02          7.12242726E+01
       3429.9990          1.20707662E+02          1.75901492E+02          7.15846345E+01
       3430.0010          1.20707684E+02          1.75901590E+02          7.15846585E+01
       3500.0000          1.21489684E+02          1.79316361E+02          7.24223743E+01
       3600.0000          1.22614602E+02          1.84190397E+02          7.36116826E+01
       3700.0000          1.23747347E+02          1.89059485E+02          7.47925151E+01
       3800.0000          1.24886637E+02          1.93923712E+02          7.59651632E+01
       3900.0000          1.26031343E+02          1.98783162E+02          7.71298957E+01
       4000.0000          1.27180474E+02          2.03637911E+02          7.82869612E+01
       4100.0000          1.28333154E+02          2.08488033E+02          7.94365909E+01
       4200.0000          1.29488609E+02          2.13333597E+02          8.05790005E+01
       4300.0000          1.30646154E+02          2.18174667E+02          8.17143915E+01
       4400.0000          1.31805183E+02          2.23011304E+02          8.28429535E+01
       4500.0000          1.32965157E+02          2.27843568E+02          8.39648646E+01
       4600.0000          1.34125597E+02          2.32671513E+02          8.50802932E+01
       4700.0000          1.35286080E+02          2.37495191E+02          8.61893982E+01
       4800.0000          1.36446226E+02          2.42314653E+02          8.72923306E+01
       4900.0000          1.37605699E+02          2.47129944E+02          8.83892338E+01
       5000.0000          1.38764200E+02          2.51941111E+02          8.94802443E+01
       5100.0000          1.39921461E+02          2.56748196E+02          9.05654922E+01
       5200.0000          1.41077245E+02          2.61551241E+02          9.16451018E+01
       5300.0000          1.42231341E+02          2.66350283E+02          9.27191919E+01
       5400.0000          1.43383561E+02          2.71145362E+02          9.37878766E+01
       5500.0000          1.44533736E+02          2.75936512E+02          9.48512651E+01
       5600.0000          1.45681718E+02          2.80723769E+02          9.59094622E+01
       5700.0000          1.46827375E+02          2.85507164E+02          9.69625688E+01
       5800.0000          1.47970591E+02          2.90286730E+02          9.80106820E+01
       5900.0000          1.49111261E+02          2.95062497E+02          9.90538953E+01
       6000.0000          1.50249294E+02          2.99834494E+02          1.00092299E+02
       6100.0000          1.51384610E+02          3.04602750E+02          1.01125980E+02
       6200.0000          1.52517138E+02          3.09367290E+02          1.02155022E+02
       6300.0000          1.53646818E+02          3.14128143E+02          1.03179506E+02
       6400.0000          1.54773594E+02          3.18885331E+02          1.04199512E+02
       6500.0000          1.55897422E+02          3.23638880E+02          1.05215115E+02
       6600.0000          1.57018260E+02          3.28388814E+02          1.06226388E+02
       6700.0000          1.58136076E+02          3.33135154E+02          1.07233404E+02
       6800.0000          1.59250841E+02          3.37877922E+02          1.08236230E+02
       6900.0000          1.60362532E+02          3.42617141E+02          1.09234935E+02
       7000.0000          1.61471128E+02          3.47352829E+02          1.10229584E+02
       7100.0000          1.62576616E+02          3.52085008E+02          1.11220240E+02
       7200.0000          1.63678983E+02          3.56813695E+02          1.12206963E+02
       7300.0000          1.64778222E+02          3.61538911E+02          1.13189815E+02
       7400.0000          1.65874327E+02          3.66260672E+02          1.14168853E+02
       7500.0000          1.66967295E+02          3.70978997E+02          1.15144133E+02
       7600.0000          1.68057126E+02          3.75693902E+02          1.16115711E+02
       7700.0000          1.69143823E+02          3.80405404E+02          1.17083641E+02
       7800.0000          1.70227389E+02          3.85113519E+02          1.18047973E+02
       7900.0000          1.71307829E+02          3.89818262E+02          1.19008760E+02
       8000.0000          1.72385153E+02          3.94519650E+02          1.19966050E+02
       8100.0000          1.73459367E+02          3.99217696E+02          1.20919893E+02
       8200.0000          1.74530484E+02          4.03912415E+02          1.21870334E+02
       8300.0000          1.75598513E+02          4.08603821E+02          1.22817420E+02
       8400.0000          1.76663468E+02          4.13291928E+02          1.23761196E+02
       8500.0000          1.77725362E+02          4.17976749E+02          1.24701705E+02
       8600.0000          1.78784209E+02          4.22658297E+02          1.25638990E+02
       8700.0000          1.79840024E+02          4.27336584E+02          1.26573093E+02
       8800.0000          1.80892824E+02          4.32011624E+02          1.27504055E+02
       8900.0000          1.81942624E+02          4.36683428E+02          1.28431915E+02
       9000.0000          1.82989441E+02          4.41352008E+02          1.29356713E+02
       9100.0000          1.84033294E+02          4.46017376E+02          1.30278485E+02
       9200.0000          1.85074199E+02          4.50679542E+02          1.31197270E+02
       9300.0000          1.86112175E+02          4.55338519E+02          1.32113104E+02
       9400.0000          1.87147240E+02          4.59994316E+02          1.33026022E+02
       9500.0000          1.88179414E+02          4.64646944E+02          1.33936059E+02
       9600.0000          1.89208715E+02          4.69296414E+02          1.34843249E+02
       9700.0000          1.90235162E+02          4.73942736E+02          1.35747626E+02
       9800.0000          1.91258775E+02          4.78585919E+02          1.36649222E+02
       9900.0000          1.92279573E+02          4.83225974E+02          1.37548070E+02
      10000.0000          1.93297576E+02          4.87862910E+02          1.38444199E+02
      11000.0000          2.03328210E+02          5.34062686E+02          1.47262477E+02
      11922.9990          2.12357083E+02          5.76436276E+02          1.55186811E+02
      11923.0010          2.12357103E+02          5.76436367E+02          1.55186828E+02
      12000.0000          2.13100852E+02          5.79959815E+02          1.55839188E+02
      13000.0000          2.22634178E+02          6.25561445E+02          1.64197214E+02
      13737.9990          2.29526423E+02          6.59029530E+02          1.70236540E+02
      13738.0010          2.29526442E+02          6.59029621E+02          1.70236556E+02
      14000.0000          2.31945404E+02          6.70873739E+02          1.72355761E+02
      14355.9990          2.35209590E+02          6.86936078E+02          1.75215217E+02
      14356.0010          2.35209608E+02          6.86936168E+02          1.75215233E+02
      15000.0000          2.41050132E+02          7.15902108E+02          1.80331149E+02
      16000.0000          2.49962392E+02          7.60651383E+02          1.88137391E+02
      17000.0000          2.58694769E+02          8.05125935E+02          1.95786627E+02
      18000.0000          2.67258550E+02          8.49329762E+02          2.03289465E+02
      19000.0000          2.75663874E+02          8.93266557E+02          2.10655239E+02
      20000.0000          2.83919866E+02          9.36939763E+02          2.17892218E+02
      21000.0000          2.92034766E+02          9.80352609E+02          2.25007769E+02
      22000.0000          3.00016033E+02          1.02350815E+03          2.32008496E+02
      23000.0000          3.07870442E+02          1.06640928E+03          2.38900342E+02
      24000.0000          3.15604164E+02          1.10905876E+03          2.45688686E+02
      25000.0000          3.23222836E+02          1.15145924E+03          2.52378412E+02
      26000.0000          3.30731627E+02          1.19361326E+03          2.58973976E+02
      27000.0000          3.38135284E+02          1.23552329E+03          2.65479454E+02
      28000.0000          3.45438182E+02          1.27719168E+03          2.71898590E+02
      29000.0000          3.52644361E+02          1.31862075E+03          2.78234834E+02
      30000.0000          3.59757564E+02          1.35981272E+03          2.84491374E+02
      31000.0000          3.66781266E+02          1.40076977E+03          2.90671160E+02
      32000.0000          3.73718699E+02          1.44149401E+03          2.96776936E+02
      33000.0000          3.80572876E+02          1.48198753E+03          3.02811256E+02
      34000.0000          3.87346612E+02          1.52225232E+03          3.08776502E+02
      35000.0000          3.94042543E+02          1.56229039E+03          3.14674904E+02
      36000.0000          4.00663141E+02          1.60210365E+03          3.20508550E+02
      37000.0000          4.07210729E+02          1.64169402E+03          3.26279403E+02
      38000.0000          4.13687491E+02          1.68106335E+03          3.31989307E+02
      39000.0000          4.20095489E+02          1.72021348E+03          3.37640001E+02
      40000.0000          4.26436667E+02          1.75914621E+03          3.43233128E+02
      41000.0000          4.32712866E+02          1.79786331E+03          3.48770239E+02
      42000.0000          4.38925826E+02          1.83636652E+03          3.54252803E+02
      43000.0000          4.45077199E+02          1.87465755E+03          3.59682214E+02
      44000.0000          4.51168553E+02          1.91273809E+03          3.65059796E+02
      45000.0000          4.57201378E+02          1.95060981E+03          3.70386805E+02
      46000.0000          4.63177094E+02          1.98827435E+03          3.75664441E+02
      47000.0000          4.69097052E+02          2.02573333E+03          3.80893844E+02
      48000.0000          4.74962542E+02          2.06298833E+03          3.86076103E+02
      49000.0000          4.80774795E+02          2.10004094E+03          3.91212259E+02
      50000.0000          4.86534989E+02          2.13689271E+03          3.96303306E+02
      80728.9990          6.42765538E+02          3.17890923E+03          5.34659129E+02
      80729.0010          6.42765547E+02          3.17890929E+03          5.34659137E+02
