#Energy      Si   Au  Total
        645.0010          6.04411647E+01          7.36312386E+01          3.31936902E+01
        650.0000          6.07981975E+01          7.33499975E+01          3.32434412E+01
        660.0000          6.15119092E+01          7.28031341E+01          3.33414610E+01
        670.0000          6.22249631E+01          7.22764477E+01          3.34375622E+01
        680.0000          6.29373653E+01          7.17690287E+01          3.35318424E+01
        690.0000          6.36491215E+01          7.12800208E+01          3.36243945E+01
        700.0000          6.43602379E+01          7.08086168E+01          3.37153069E+01
        710.0000          6.50707205E+01          7.03540551E+01          3.38046641E+01
        720.0000          6.57805754E+01          6.99156169E+01          3.38925465E+01
        730.0000          6.64898089E+01          6.94926230E+01          3.39790306E+01
        740.0000          6.71984270E+01          6.90844311E+01          3.40641895E+01
        750.0000          6.79064359E+01          6.86904336E+01          3.41480924E+01
        760.0000          6.86138419E+01          6.83100549E+01          3.42308057E+01
        763.9990          6.88965661E+01          6.81616304E+01          3.42635639E+01
        764.0010          6.88967075E+01          6.81615567E+01          3.42635803E+01
        770.0000          6.93206510E+01          6.79427497E+01          3.43123922E+01
        780.0000          7.00268694E+01          6.75880008E+01          3.43929119E+01
        790.0000          7.07325033E+01          6.72453174E+01          3.44724218E+01
        800.0000          7.14375586E+01          6.69142335E+01          3.45509762E+01
        810.0000          7.21420414E+01          6.65943062E+01          3.46286267E+01
        820.0000          7.28459576E+01          6.62851146E+01          3.47054225E+01
        830.0000          7.35493132E+01          6.59862582E+01          3.47814104E+01
        840.0000          7.42521141E+01          6.56973555E+01          3.48566347E+01
        850.0000          7.49543660E+01          6.54180436E+01          3.49311378E+01
        860.0000          7.56560747E+01          6.51479761E+01          3.50049599E+01
        870.0000          7.63572458E+01          6.48868233E+01          3.50781392E+01
        880.0000          7.70578850E+01          6.46342700E+01          3.51507121E+01
        890.0000          7.77579979E+01          6.43900159E+01          3.52227132E+01
        900.0000          7.84575898E+01          6.41537737E+01          3.52941753E+01
        910.0000          7.91566663E+01          6.39252693E+01          3.53651297E+01
        920.0000          7.98552326E+01          6.37042404E+01          3.54356061E+01
        930.0000          8.05532940E+01          6.34904361E+01          3.55056326E+01
        940.0000          8.12508558E+01          6.32836164E+01          3.55752362E+01
        950.0000          8.19479230E+01          6.30835516E+01          3.56444423E+01
        960.0000          8.26445008E+01          6.28900215E+01          3.57132751E+01
        970.0000          8.33405940E+01          6.27028152E+01          3.57817576E+01
        980.0000          8.40362077E+01          6.25217306E+01          3.58499116E+01
        990.0000          8.47313467E+01          6.23465737E+01          3.59177580E+01
       1000.0000          8.54260157E+01          6.21771585E+01          3.59853164E+01
       1100.0000          9.23478613E+01          6.07627737E+01          3.66487423E+01
       1200.0000          9.92274776E+01          5.97637364E+01          3.72989467E+01
       1300.0000          1.06068610E+02          5.90790077E+01          3.79444058E+01
       1400.0000          1.12874486E+02          5.86369169E+01          3.85899232E+01
       1500.0000          1.19647896E+02          5.83852972E+01          3.92380647E+01
       1600.0000          1.26391264E+02          5.82853345E+01          3.98900411E+01
       1700.0000          1.33106708E+02          5.83075988E+01          4.05462510E+01
       1800.0000          1.39796090E+02          5.84294048E+01          4.12066184E+01
       1843.9990          1.42731524E+02          5.85098166E+01          4.14984082E+01
       1844.0010          1.42731658E+02          5.85098206E+01          4.14984215E+01
       1900.0000          1.46461051E+02          5.86330120E+01          4.18708003E+01
       2000.0000          1.53103050E+02          5.89043688E+01          4.25383158E+01
       2100.0000          1.59723387E+02          5.92322187E+01          4.32086247E+01
       2200.0000          1.66323229E+02          5.96074518E+01          4.38811755E+01
       2209.9990          1.66982061E+02          5.96472784E+01          4.39485263E+01
       2210.0010          1.66982193E+02          5.96472864E+01          4.39485398E+01
       2294.9990          1.72574983E+02          6.00010159E+01          4.45216804E+01
       2295.0010          1.72575115E+02          6.00010245E+01          4.45216939E+01
       2300.0000          1.72903622E+02          6.00226285E+01          4.45554326E+01
       2400.0000          1.79465514E+02          6.04716225E+01          4.52308924E+01
       2500.0000          1.86009764E+02          6.09493515E+01          4.59070906E+01
       2600.0000          1.92537153E+02          6.14515704E+01          4.65836052E+01
       2700.0000          1.99048396E+02          6.19747116E+01          4.72600570E+01
       2747.9990          2.02168186E+02          6.22323419E+01          4.75846238E+01
       2748.0010          2.02168316E+02          6.22323527E+01          4.75846374E+01
       2800.0000          2.05544145E+02          6.25157596E+01          4.79361073E+01
       2900.0000          2.12025000E+02          6.30721525E+01          4.86114560E+01
       3000.0000          2.18491514E+02          6.36417032E+01          4.92858382E+01
       3100.0000          2.24944199E+02          6.42225366E+01          4.99590211E+01
       3152.9990          2.28358613E+02          6.45343858E+01          5.03152444E+01
       3153.0010          2.28358741E+02          6.45343976E+01          5.03152579E+01
       3200.0000          2.31383525E+02          6.48130385E+01          5.06308012E+01
       3300.0000          2.37809932E+02          6.54118140E+01          5.13010009E+01
       3400.0000          2.44223828E+02          6.60176539E+01          5.19694660E+01
       3429.9990          2.46145550E+02          6.62006163E+01          5.21696402E+01
       3430.0010          2.46145678E+02          6.62006286E+01          5.21696535E+01
       3500.0000          2.50625591E+02          6.66295063E+01          5.26360633E+01
       3600.0000          2.57015576E+02          6.72464537E+01          5.33006780E+01
       3700.0000          2.63394115E+02          6.78676938E+01          5.39632118E+01
       3800.0000          2.69761519E+02          6.84925229E+01          5.46235809E+01
       3900.0000          2.76118079E+02          6.91203230E+01          5.52817146E+01
       4000.0000          2.82464068E+02          6.97505496E+01          5.59375534E+01
       4100.0000          2.88799746E+02          7.03827225E+01          5.65910482E+01
       4200.0000          2.95125355E+02          7.10164174E+01          5.72421585E+01
       4300.0000          3.01441124E+02          7.16512587E+01          5.78908521E+01
       4400.0000          3.07747271E+02          7.22869136E+01          5.85371035E+01
       4500.0000          3.14044002E+02          7.29230868E+01          5.91808933E+01
       4600.0000          3.20331510E+02          7.35595160E+01          5.98222079E+01
       4700.0000          3.26609981E+02          7.41959682E+01          6.04610381E+01
       4800.0000          3.32879590E+02          7.48322359E+01          6.10973791E+01
       4900.0000          3.39140504E+02          7.54681346E+01          6.17312299E+01
       5000.0000          3.45392882E+02          7.61034998E+01          6.23625926E+01
       5100.0000          3.51636874E+02          7.67381854E+01          6.29914722E+01
       5200.0000          3.57872627E+02          7.73720610E+01          6.36178763E+01
       5300.0000          3.64100276E+02          7.80050106E+01          6.42418147E+01
       5400.0000          3.70319955E+02          7.86369309E+01          6.48632989E+01
       5500.0000          3.76531788E+02          7.92677301E+01          6.54823425E+01
       5600.0000          3.82735897E+02          7.98973267E+01          6.60989601E+01
       5700.0000          3.88932396E+02          8.05256481E+01          6.67131678E+01
       5800.0000          3.95121397E+02          8.11526304E+01          6.73249828E+01
       5900.0000          4.01303006E+02          8.17782167E+01          6.79344231E+01
       6000.0000          4.07477324E+02          8.24023568E+01          6.85415076E+01
       6100.0000          4.13644450E+02          8.30250069E+01          6.91462558E+01
       6200.0000          4.19804478E+02          8.36461280E+01          6.97486877E+01
       6300.0000          4.25957497E+02          8.42656866E+01          7.03488240E+01
       6400.0000          4.32103596E+02          8.48836532E+01          7.09466855E+01
       6500.0000          4.38242859E+02          8.55000023E+01          7.15422934E+01
       6600.0000          4.44375366E+02          8.61147123E+01          7.21356692E+01
       6700.0000          4.50501196E+02          8.67277646E+01          7.27268345E+01
       6800.0000          4.56620423E+02          8.73391436E+01          7.33158109E+01
       6900.0000          4.62733121E+02          8.79488364E+01          7.39026202E+01
       7000.0000          4.68839360E+02          8.85568324E+01          7.44872843E+01
       7100.0000          4.74939207E+02          8.91631235E+01          7.50698249E+01
       7200.0000          4.81032730E+02          8.97677031E+01          7.56502637E+01
       7300.0000          4.87119990E+02          9.03705669E+01          7.62286225E+01
       7400.0000          4.93201050E+02          9.09717119E+01          7.68049227E+01
       7500.0000          4.99275969E+02          9.15711367E+01          7.73791858E+01
       7600.0000          5.05344805E+02          9.21688411E+01          7.79514331E+01
       7700.0000          5.11407613E+02          9.27648263E+01          7.85216857E+01
       7800.0000          5.17464449E+02          9.33590945E+01          7.90899645E+01
       7900.0000          5.23515365E+02          9.39516488E+01          7.96562903E+01
       8000.0000          5.29560412E+02          9.45424934E+01          8.02206837E+01
       8100.0000          5.35599639E+02          9.51316331E+01          8.07831649E+01
       8200.0000          5.41633095E+02          9.57190735E+01          8.13437540E+01
       8300.0000          5.47660827E+02          9.63048209E+01          8.19024711E+01
       8400.0000          5.53682879E+02          9.68888821E+01          8.24593356E+01
       8500.0000          5.59699298E+02          9.74712645E+01          8.30143671E+01
       8600.0000          5.65710125E+02          9.80519760E+01          8.35675847E+01
       8700.0000          5.71715402E+02          9.86310249E+01          8.41190074E+01
       8800.0000          5.77715171E+02          9.92084197E+01          8.46686538E+01
       8900.0000          5.83709470E+02          9.97841695E+01          8.52165424E+01
       9000.0000          5.89698340E+02          1.00358284E+02          8.57626914E+01
       9100.0000          5.95681817E+02          1.00930772E+02          8.63071187E+01
       9200.0000          6.01659939E+02          1.01501643E+02          8.68498420E+01
       9300.0000          6.07632741E+02          1.02070908E+02          8.73908789E+01
       9400.0000          6.13600258E+02          1.02638577E+02          8.79302464E+01
       9500.0000          6.19562525E+02          1.03204660E+02          8.84679615E+01
       9600.0000          6.25519574E+02          1.03769167E+02          8.90040411E+01
       9700.0000          6.31471440E+02          1.04332109E+02          8.95385014E+01
       9800.0000          6.37418152E+02          1.04893497E+02          9.00713588E+01
       9900.0000          6.43359742E+02          1.05453341E+02          9.06026294E+01
      10000.0000          6.49296242E+02          1.06011652E+02          9.11323287E+01
      11000.0000          7.08387429E+02          1.11512828E+02          9.63462141E+01
      11922.9990          7.62501871E+02          1.16464602E+02          1.01032837E+02
      11923.0010          7.62501988E+02          1.16464612E+02          1.01032847E+02
      12000.0000          7.66998432E+02          1.16872512E+02          1.01418691E+02
      13000.0000          8.25150910E+02          1.22100947E+02          1.06362111E+02
      13737.9990          8.67784000E+02          1.25880913E+02          1.09933883E+02
      13738.0010          8.67784115E+02          1.25880923E+02          1.09933892E+02
      14000.0000          8.82862921E+02          1.27207573E+02          1.11187140E+02
      14355.9990          9.03305000E+02          1.28997775E+02          1.12878060E+02
      14356.0010          9.03305115E+02          1.28997785E+02          1.12878070E+02
      15000.0000          9.40149791E+02          1.32200947E+02          1.15903024E+02
      16000.0000          9.97024730E+02          1.37088765E+02          1.20517823E+02
      17000.0000          1.05349928E+03          1.41877929E+02          1.25038603E+02
      18000.0000          1.10958364E+03          1.46574629E+02          1.29471591E+02
      19000.0000          1.16528693E+03          1.51184424E+02          1.33822307E+02
      20000.0000          1.22061738E+03          1.55712320E+02          1.38095664E+02
      21000.0000          1.27558245E+03          1.60162836E+02          1.42296064E+02
      22000.0000          1.33018900E+03          1.64540063E+02          1.46427461E+02
      23000.0000          1.38444334E+03          1.68847716E+02          1.50493428E+02
      24000.0000          1.43835134E+03          1.73089179E+02          1.54497203E+02
      25000.0000          1.49191846E+03          1.77267545E+02          1.58441733E+02
      26000.0000          1.54514984E+03          1.81385648E+02          1.62329710E+02
      27000.0000          1.59805030E+03          1.85446092E+02          1.66163601E+02
      28000.0000          1.65062440E+03          1.89451275E+02          1.69945672E+02
      29000.0000          1.70287647E+03          1.93403415E+02          1.73678014E+02
      30000.0000          1.75481065E+03          1.97304563E+02          1.77362558E+02
      31000.0000          1.80643087E+03          2.01156625E+02          1.81001096E+02
      32000.0000          1.85774089E+03          2.04961373E+02          1.84595291E+02
      33000.0000          1.90874435E+03          2.08720461E+02          1.88146693E+02
      34000.0000          1.95944471E+03          2.12435433E+02          1.91656748E+02
      35000.0000          2.00984535E+03          2.16107733E+02          1.95126809E+02
      36000.0000          2.05994951E+03          2.19738718E+02          1.98558144E+02
      37000.0000          2.10976032E+03          2.23329661E+02          2.01951944E+02
      38000.0000          2.15928083E+03          2.26881760E+02          2.05309327E+02
      39000.0000          2.20851400E+03          2.30396147E+02          2.08631350E+02
      40000.0000          2.25746268E+03          2.33873888E+02          2.11919008E+02
      41000.0000          2.30612969E+03          2.37315990E+02          2.15173242E+02
      42000.0000          2.35451775E+03          2.40723411E+02          2.18394943E+02
      43000.0000          2.40262950E+03          2.44097055E+02          2.21584955E+02
      44000.0000          2.45046754E+03          2.47437782E+02          2.24744082E+02
      45000.0000          2.49803442E+03          2.50746411E+02          2.27873084E+02
      46000.0000          2.54533260E+03          2.54023718E+02          2.30972687E+02
      47000.0000          2.59236451E+03          2.57270445E+02          2.34043582E+02
      48000.0000          2.63913253E+03          2.60487300E+02          2.37086428E+02
      49000.0000          2.68563900E+03          2.63674958E+02          2.40101854E+02
      50000.0000          2.73188619E+03          2.66834065E+02          2.43090463E+02
      80728.9990          4.03725961E+03          3.52516767E+02          3.24208247E+02
      80729.0010          4.03725968E+03          3.52516772E+02          3.24208252E+02
