#Energy      Hg   O  Total
         94.0000          1.81037690E+03          3.54603949E+01          3.47791650E+01
         95.0000          1.79243327E+03          3.56831361E+01          3.49866344E+01
         96.0000          1.77486493E+03          3.59060844E+01          3.51940966E+01
         97.0000          1.75766028E+03          3.61292314E+01          3.54015422E+01
         98.0000          1.74080820E+03          3.63525690E+01          3.56089619E+01
         99.0000          1.72429803E+03          3.65760893E+01          3.58163471E+01
        100.0000          1.70811952E+03          3.67997850E+01          3.60236894E+01
        102.9990          1.66149258E+03          3.74716300E+01          3.66451718E+01
        103.0010          1.66146239E+03          3.74720786E+01          3.66455860E+01
        106.9990          1.60339035E+03          3.83697763E+01          3.74730316E+01
        107.0010          1.60336239E+03          3.83702259E+01          3.74734451E+01
        110.0000          1.56258834E+03          3.90449529E+01          3.80931069E+01
        120.0000          1.44144400E+03          4.13013763E+01          4.01509403E+01
        124.9990          1.38820013E+03          4.24323076E+01          4.11737728E+01
        125.0010          1.38817969E+03          4.24327604E+01          4.11741811E+01
        130.0000          1.33906474E+03          4.35651459E+01          4.21924561E+01
        140.0000          1.25143330E+03          4.58335658E+01          4.42142261E+01
        150.0000          1.17560253E+03          4.81047395E+01          4.62137105E+01
        160.0000          1.10936132E+03          5.03773121E+01          4.81889970E+01
        170.0000          1.05101826E+03          5.26503039E+01          5.01386309E+01
        180.0000          9.99257453E+02          5.49230004E+01          5.20615017E+01
        190.0000          9.53039743E+02          5.71948780E+01          5.39567648E+01
        200.0000          9.11533624E+02          5.94655522E+01          5.58237861E+01
        210.0000          8.74065829E+02          6.17347410E+01          5.76621016E+01
        220.0000          8.40085402E+02          6.40022393E+01          5.94713880E+01
        230.0000          8.09137131E+02          6.62678993E+01          6.12514391E+01
        240.0000          7.80841618E+02          6.85316174E+01          6.30021488E+01
        250.0000          7.54880130E+02          7.07933229E+01          6.47234964E+01
        260.0000          7.30982942E+02          7.30529709E+01          6.64155353E+01
        270.0000          7.08920269E+02          7.53105361E+01          6.80783835E+01
        280.0000          6.88495138E+02          7.75660084E+01          6.97122154E+01
        290.0000          6.69537735E+02          7.98193891E+01          7.13172549E+01
        300.0000          6.51900886E+02          8.20706887E+01          7.28937693E+01
        310.0000          6.35456402E+02          8.43199243E+01          7.44420645E+01
        320.0000          6.20092116E+02          8.65671183E+01          7.59624795E+01
        330.0000          6.05709461E+02          8.88122972E+01          7.74553828E+01
        340.0000          5.92221465E+02          9.10554901E+01          7.89211685E+01
        350.0000          5.79551099E+02          9.32967283E+01          8.03602527E+01
        360.0000          5.67629899E+02          9.55360446E+01          8.17730703E+01
        362.9990          5.64191457E+02          9.62072460E+01          8.21917215E+01
        363.0010          5.64189185E+02          9.62076935E+01          8.21919999E+01
        370.0000          5.56396802E+02          9.77734727E+01          8.31600726E+01
        380.0000          5.45797180E+02          1.00009047E+02          8.45217242E+01
        381.9990          5.43749886E+02          1.00455719E+02          8.47909197E+01
        382.0010          5.43747849E+02          1.00456166E+02          8.47911885E+01
        390.0000          5.35782009E+02          1.02242802E+02          8.58585008E+01
        400.0000          5.26307176E+02          1.04474772E+02          8.71708872E+01
        410.0000          5.17332872E+02          1.06704991E+02          8.84593751E+01
        420.0000          5.08823085E+02          1.08933494E+02          8.97244614E+01
        430.0000          5.00745158E+02          1.11160313E+02          9.09666464E+01
        440.0000          4.93069407E+02          1.13385483E+02          9.21864324E+01
        450.0000          4.85768789E+02          1.15609034E+02          9.33843224E+01
        460.0000          4.78818618E+02          1.17830999E+02          9.45608187E+01
        470.0000          4.72196313E+02          1.20051410E+02          9.57164220E+01
        480.0000          4.65881178E+02          1.22270294E+02          9.68516300E+01
        490.0000          4.59854209E+02          1.24487684E+02          9.79669369E+01
        500.0000          4.54097928E+02          1.26703606E+02          9.90628324E+01
        510.0000          4.48596231E+02          1.28918090E+02          1.00139801E+02
        520.0000          4.43334253E+02          1.31131161E+02          1.01198321E+02
        530.0000          4.38298258E+02          1.33342848E+02          1.02238865E+02
        537.9990          4.34424068E+02          1.35110996E+02          1.03058568E+02
        538.0010          4.34423116E+02          1.35111438E+02          1.03058772E+02
        540.0000          4.33475529E+02          1.35553174E+02          1.03261898E+02
        550.0000          4.28854275E+02          1.37762167E+02          1.04267878E+02
        560.0000          4.24423553E+02          1.39969849E+02          1.05257255E+02
        570.0000          4.20173188E+02          1.42176244E+02          1.06230472E+02
        578.9990          4.16494626E+02          1.44160698E+02          1.07092814E+02
        579.0010          4.16493823E+02          1.44161139E+02          1.07093004E+02
        580.0000          4.16093710E+02          1.44381376E+02          1.07187962E+02
        590.0000          4.12176296E+02          1.46585266E+02          1.08130151E+02
        600.0000          4.08412710E+02          1.48787937E+02          1.09057455E+02
        610.0000          4.04795260E+02          1.50989409E+02          1.09970283E+02
        620.0000          4.01316753E+02          1.53189703E+02          1.10869032E+02
        630.0000          3.97970453E+02          1.55388839E+02          1.11754095E+02
        640.0000          3.94750048E+02          1.57586836E+02          1.12625850E+02
        650.0000          3.91649618E+02          1.59783713E+02          1.13484671E+02
        660.0000          3.88663601E+02          1.61979489E+02          1.14330921E+02
        670.0000          3.85786769E+02          1.64174180E+02          1.15164952E+02
        680.0000          3.83014206E+02          1.66367805E+02          1.15987112E+02
        682.9990          3.82202339E+02          1.67025467E+02          1.16231413E+02
        683.0010          3.82201801E+02          1.67025906E+02          1.16231576E+02
        690.0000          3.80341280E+02          1.68560379E+02          1.16797735E+02
        700.0000          3.77763626E+02          1.70751920E+02          1.17597149E+02
        710.0000          3.75277127E+02          1.72942444E+02          1.18385674E+02
        720.0000          3.72877895E+02          1.75131965E+02          1.19163619E+02
        730.0000          3.70562257E+02          1.77320499E+02          1.19931287E+02
        740.0000          3.68326741E+02          1.79508060E+02          1.20688972E+02
        750.0000          3.66168061E+02          1.81694664E+02          1.21436958E+02
        760.0000          3.64083103E+02          1.83880323E+02          1.22175524E+02
        770.0000          3.62068918E+02          1.86065051E+02          1.22904939E+02
        780.0000          3.60122710E+02          1.88248862E+02          1.23625465E+02
        790.0000          3.58241825E+02          1.90431768E+02          1.24337357E+02
        800.0000          3.56423742E+02          1.92613782E+02          1.25040862E+02
        805.9990          3.55362211E+02          1.93922349E+02          1.25458969E+02
        806.0010          3.55361861E+02          1.93922786E+02          1.25459108E+02
        810.0000          3.54666066E+02          1.94794916E+02          1.25736219E+02
        820.0000          3.52966521E+02          1.96975182E+02          1.26423663E+02
        830.0000          3.51322939E+02          1.99154592E+02          1.27103419E+02
        840.0000          3.49733259E+02          2.01333156E+02          1.27775707E+02
        850.0000          3.48195517E+02          2.03510887E+02          1.28440739E+02
        860.0000          3.46707840E+02          2.05687794E+02          1.29098723E+02
        870.0000          3.45268443E+02          2.07863888E+02          1.29749857E+02
        880.0000          3.43875624E+02          2.10039180E+02          1.30394338E+02
        890.0000          3.42527756E+02          2.12213680E+02          1.31032353E+02
        900.0000          3.41223286E+02          2.14387397E+02          1.31664085E+02
        910.0000          3.39960731E+02          2.16560340E+02          1.32289711E+02
        920.0000          3.38738673E+02          2.18732520E+02          1.32909403E+02
        930.0000          3.37555754E+02          2.20903946E+02          1.33523329E+02
        940.0000          3.36410676E+02          2.23074626E+02          1.34131648E+02
        950.0000          3.35302196E+02          2.25244568E+02          1.34734519E+02
        960.0000          3.34229123E+02          2.27413783E+02          1.35332092E+02
        970.0000          3.33190316E+02          2.29582277E+02          1.35924514E+02
        980.0000          3.32184682E+02          2.31750059E+02          1.36511930E+02
        990.0000          3.31211170E+02          2.33917138E+02          1.37094475E+02
       1000.0000          3.30268776E+02          2.36083520E+02          1.37672286E+02
       1100.0000          3.22361326E+02          2.57710655E+02          1.43216620E+02
       1200.0000          3.16706158E+02          2.79275645E+02          1.48407747E+02
       1300.0000          3.12756425E+02          3.00784083E+02          1.53326721E+02
       1400.0000          3.10124131E+02          3.22240611E+02          1.58033146E+02
       1500.0000          3.08526784E+02          3.43649125E+02          1.62571107E+02
       1600.0000          3.07754142E+02          3.65012935E+02          1.66973454E+02
       1700.0000          3.07646740E+02          3.86334876E+02          1.71264861E+02
       1800.0000          3.08081620E+02          4.07617404E+02          1.75464023E+02
       1900.0000          3.08962591E+02          4.28862658E+02          1.79585231E+02
       2000.0000          3.10213436E+02          4.50072517E+02          1.83639513E+02
       2100.0000          3.11773071E+02          4.71248642E+02          1.87635456E+02
       2200.0000          3.13592046E+02          4.92392510E+02          1.91579818E+02
       2299.9990          3.15629934E+02          5.13505228E+02          1.95477925E+02
       2300.0000          3.15629956E+02          5.13505439E+02          1.95477964E+02
       2300.0010          3.15629977E+02          5.13505650E+02          1.95478003E+02
       2389.9990          3.17623606E+02          5.32481393E+02          1.98950318E+02
       2390.0010          3.17623652E+02          5.32481814E+02          1.98950395E+02
       2400.0000          3.17853513E+02          5.34588614E+02          1.99334199E+02
       2500.0000          3.20235090E+02          5.55643104E+02          2.03152014E+02
       2600.0000          3.22751599E+02          5.76669877E+02          2.06934268E+02
       2700.0000          3.25383625E+02          5.97669815E+02          2.10683329E+02
       2800.0000          3.28114750E+02          6.18643721E+02          2.14401176E+02
       2851.9990          3.29569351E+02          6.29539901E+02          2.16322652E+02
       2852.0010          3.29569408E+02          6.29540320E+02          2.16322726E+02
       2900.0000          3.30931015E+02          6.39592330E+02          2.18089488E+02
       3000.0000          3.33820498E+02          6.60516318E+02          2.21749696E+02
       3100.0000          3.36772970E+02          6.81416309E+02          2.25383039E+02
       3200.0000          3.39779619E+02          7.02292878E+02          2.28990600E+02
       3282.9990          3.42310760E+02          7.19602816E+02          2.31965946E+02
       3283.0010          3.42310821E+02          7.19603233E+02          2.31966017E+02
       3300.0000          3.42832824E+02          7.23146557E+02          2.32573332E+02
       3400.0000          3.45925974E+02          7.43977841E+02          2.36132084E+02
       3500.0000          3.49053315E+02          7.64787189E+02          2.39667621E+02
       3566.9990          3.51165201E+02          7.78717189E+02          2.42023754E+02
       3567.0010          3.51165264E+02          7.78717605E+02          2.42023824E+02
       3600.0000          3.52209821E+02          7.85575033E+02          2.43180634E+02
       3700.0000          3.55391095E+02          8.06341771E+02          2.46671755E+02
       3800.0000          3.58593276E+02          8.27087780E+02          2.50141566E+02
       3900.0000          3.61812969E+02          8.47813411E+02          2.53590607E+02
       4000.0000          3.65047182E+02          8.68518996E+02          2.57019378E+02
       4100.0000          3.68293270E+02          8.89204845E+02          2.60428351E+02
       4200.0000          3.71548896E+02          9.09871253E+02          2.63817968E+02
       4300.0000          3.74811986E+02          9.30518495E+02          2.67188647E+02
       4400.0000          3.78080703E+02          9.51146834E+02          2.70540787E+02
       4500.0000          3.81353412E+02          9.71756518E+02          2.73874765E+02
       4600.0000          3.84628659E+02          9.92347781E+02          2.77190942E+02
       4700.0000          3.87905151E+02          1.01292085E+03          2.80489664E+02
       4800.0000          3.91181733E+02          1.03347593E+03          2.83771263E+02
       4900.0000          3.94457377E+02          1.05401322E+03          2.87036058E+02
       5000.0000          3.97731166E+02          1.07453293E+03          2.90284356E+02
       5100.0000          4.01002281E+02          1.09503522E+03          2.93516454E+02
       5200.0000          4.04269991E+02          1.11552029E+03          2.96732637E+02
       5300.0000          4.07533643E+02          1.13598828E+03          2.99933183E+02
       5400.0000          4.10792655E+02          1.15643937E+03          3.03118359E+02
       5500.0000          4.14046508E+02          1.17687371E+03          3.06288426E+02
       5600.0000          4.17294738E+02          1.19729143E+03          3.09443635E+02
       5700.0000          4.20536932E+02          1.21769269E+03          3.12584232E+02
       5800.0000          4.23772723E+02          1.23807762E+03          3.15710453E+02
       5900.0000          4.27001785E+02          1.25844634E+03          3.18822529E+02
       6000.0000          4.30223829E+02          1.27879899E+03          3.21920686E+02
       6100.0000          4.33438598E+02          1.29913567E+03          3.25005141E+02
       6200.0000          4.36645865E+02          1.31945652E+03          3.28076107E+02
       6300.0000          4.39845432E+02          1.33976163E+03          3.31133791E+02
       6400.0000          4.43037124E+02          1.36005111E+03          3.34178395E+02
       6500.0000          4.46220787E+02          1.38032508E+03          3.37210116E+02
       6600.0000          4.49396289E+02          1.40058362E+03          3.40229144E+02
       6700.0000          4.52563516E+02          1.42082684E+03          3.43235668E+02
       6800.0000          4.55722370E+02          1.44105482E+03          3.46229869E+02
       6900.0000          4.58872768E+02          1.46126767E+03          3.49211926E+02
       7000.0000          4.62014639E+02          1.48146545E+03          3.52182011E+02
       7100.0000          4.65147926E+02          1.50164827E+03          3.55140294E+02
       7200.0000          4.68272584E+02          1.52181620E+03          3.58086941E+02
       7300.0000          4.71388576E+02          1.54196932E+03          3.61022113E+02
       7400.0000          4.74495875E+02          1.56210771E+03          3.63945969E+02
       7500.0000          4.77594463E+02          1.58223144E+03          3.66858662E+02
       7600.0000          4.80684328E+02          1.60234059E+03          3.69760344E+02
       7700.0000          4.83765467E+02          1.62243522E+03          3.72651161E+02
       7800.0000          4.86837881E+02          1.64251541E+03          3.75531259E+02
       7900.0000          4.89901577E+02          1.66258122E+03          3.78400776E+02
       8000.0000          4.92956570E+02          1.68263271E+03          3.81259853E+02
       8100.0000          4.96002875E+02          1.70266995E+03          3.84108623E+02
       8200.0000          4.99040515E+02          1.72269301E+03          3.86947218E+02
       8300.0000          5.02069515E+02          1.74270193E+03          3.89775767E+02
       8400.0000          5.05089904E+02          1.76269678E+03          3.92594398E+02
       8500.0000          5.08101713E+02          1.78267762E+03          3.95403232E+02
       8600.0000          5.11104978E+02          1.80264450E+03          3.98202392E+02
       8700.0000          5.14099735E+02          1.82259747E+03          4.00991996E+02
       8800.0000          5.17086024E+02          1.84253659E+03          4.03772160E+02
       8900.0000          5.20063887E+02          1.86246191E+03          4.06542998E+02
       9000.0000          5.23033366E+02          1.88237348E+03          4.09304621E+02
       9100.0000          5.25994506E+02          1.90227135E+03          4.12057138E+02
       9200.0000          5.28947354E+02          1.92215556E+03          4.14800657E+02
       9300.0000          5.31891958E+02          1.94202617E+03          4.17535282E+02
       9400.0000          5.34828365E+02          1.96188322E+03          4.20261115E+02
       9500.0000          5.37756626E+02          1.98172676E+03          4.22978259E+02
       9600.0000          5.40676790E+02          2.00155683E+03          4.25686811E+02
       9700.0000          5.43588910E+02          2.02137346E+03          4.28386868E+02
       9800.0000          5.46493036E+02          2.04117672E+03          4.31078525E+02
       9900.0000          5.49389221E+02          2.06096662E+03          4.33761876E+02
      10000.0000          5.52277518E+02          2.08074323E+03          4.36437012E+02
      11000.0000          5.80738394E+02          2.27778603E+03          4.62755465E+02
      12000.0000          6.08469186E+02          2.47353803E+03          4.88341385E+02
      12287.9990          6.16327604E+02          2.52967943E+03          4.95584163E+02
      12288.0010          6.16327659E+02          2.52967982E+03          4.95584213E+02
      13000.0000          6.35521534E+02          2.66802972E+03          5.13262913E+02
      14000.0000          6.61943434E+02          2.86128739E+03          5.37577722E+02
      14213.9990          6.67520074E+02          2.90248630E+03          5.42707118E+02
      14214.0010          6.67520126E+02          2.90248668E+03          5.42707166E+02
      14844.9990          6.83810922E+02          3.02364512E+03          5.57687410E+02
      14845.0010          6.83810973E+02          3.02364551E+03          5.57687457E+02
      15000.0000          6.87778616E+02          3.05333411E+03          5.61335106E+02
      16000.0000          7.13066555E+02          3.24419050E+03          5.84577578E+02
      17000.0000          7.37842754E+02          3.43387518E+03          6.07342098E+02
      18000.0000          7.62139121E+02          3.62240522E+03          6.29661036E+02
      19000.0000          7.85984364E+02          3.80979637E+03          6.51562933E+02
      20000.0000          8.09404361E+02          3.99606330E+03          6.73073110E+02
      21000.0000          8.32422498E+02          4.18121979E+03          6.94214151E+02
      22000.0000          8.55059969E+02          4.36527887E+03          7.15006311E+02
      23000.0000          8.77336034E+02          4.54825287E+03          7.35467837E+02
      24000.0000          8.99268252E+02          4.73015360E+03          7.55615242E+02
      25000.0000          9.20872671E+02          4.91099234E+03          7.75463531E+02
      26000.0000          9.42164006E+02          5.09077994E+03          7.95026386E+02
      27000.0000          9.63155785E+02          5.26952687E+03          8.14316334E+02
      28000.0000          9.83860474E+02          5.44724325E+03          8.33344875E+02
      29000.0000          1.00428960E+03          5.62393889E+03          8.52122603E+02
      30000.0000          1.02445382E+03          5.79962332E+03          8.70659306E+02
      31000.0000          1.04436306E+03          5.97430580E+03          8.88964048E+02
      32000.0000          1.06402653E+03          6.14799537E+03          9.07045247E+02
      33000.0000          1.08345284E+03          6.32070085E+03          9.24910739E+02
      34000.0000          1.10265001E+03          6.49243087E+03          9.42567836E+02
      35000.0000          1.12162557E+03          6.66319385E+03          9.60023372E+02
      36000.0000          1.14038658E+03          6.83299807E+03          9.77283753E+02
      37000.0000          1.15893966E+03          7.00185163E+03          9.94354989E+02
      38000.0000          1.17729105E+03          7.16976248E+03          1.01124273E+03
      39000.0000          1.19544665E+03          7.33673843E+03          1.02795231E+03
      40000.0000          1.21341200E+03          7.50278715E+03          1.04448875E+03
      41000.0000          1.23119235E+03          7.66791620E+03          1.06085679E+03
      42000.0000          1.24879268E+03          7.83213301E+03          1.07706094E+03
      43000.0000          1.26621770E+03          7.99544488E+03          1.09310545E+03
      44000.0000          1.28347190E+03          8.15785902E+03          1.10899437E+03
      45000.0000          1.30055953E+03          8.31938253E+03          1.12473153E+03
      46000.0000          1.31748463E+03          8.48002240E+03          1.14032061E+03
      47000.0000          1.33425108E+03          8.63978553E+03          1.15576507E+03
      48000.0000          1.35086255E+03          8.79867873E+03          1.17106826E+03
      49000.0000          1.36732256E+03          8.95670871E+03          1.18623332E+03
      50000.0000          1.38363448E+03          9.11388211E+03          1.20126331E+03
      83107.9990          1.85611969E+03          1.38734733E+04          1.63709429E+03
      83108.0010          1.85611971E+03          1.38734735E+04          1.63709432E+03
