#Energy      Cd   S  Total
         73.0000          1.94329253E+02          1.69830952E+01          1.56181701E+01
         74.0000          1.92075505E+02          1.69696832E+01          1.55921334E+01
         75.0000          1.89882696E+02          1.69580716E+01          1.55677451E+01
         76.0000          1.87748427E+02          1.69481886E+01          1.55449358E+01
         77.0000          1.85670423E+02          1.69399660E+01          1.55236396E+01
         77.9990          1.83648526E+02          1.69333451E+01          1.55038132E+01
         78.0000          1.83646528E+02          1.69333392E+01          1.55037941E+01
         78.0010          1.83644531E+02          1.69333334E+01          1.55037749E+01
         79.0000          1.81674693E+02          1.69282468E+01          1.54853400E+01
         80.0000          1.79752970E+02          1.69246305E+01          1.54682211E+01
         81.0000          1.77879508E+02          1.69224348E+01          1.54523837E+01
         82.0000          1.76052548E+02          1.69216067E+01          1.54377771E+01
         83.0000          1.74270412E+02          1.69220961E+01          1.54243526E+01
         84.0000          1.72531505E+02          1.69238551E+01          1.54120643E+01
         85.0000          1.70834304E+02          1.69268379E+01          1.54008681E+01
         86.0000          1.69177359E+02          1.69310011E+01          1.53907221E+01
         87.0000          1.67559285E+02          1.69363030E+01          1.53815864E+01
         88.0000          1.65978759E+02          1.69427040E+01          1.53734227E+01
         89.0000          1.64434520E+02          1.69501661E+01          1.53661948E+01
         90.0000          1.62925361E+02          1.69586531E+01          1.53598678E+01
         91.0000          1.61450128E+02          1.69681303E+01          1.53544085E+01
         92.0000          1.60007718E+02          1.69785647E+01          1.53497850E+01
         93.0000          1.58597073E+02          1.69899244E+01          1.53459671E+01
         94.0000          1.57217183E+02          1.70021790E+01          1.53429255E+01
         95.0000          1.55867078E+02          1.70152995E+01          1.53406325E+01
         96.0000          1.54545830E+02          1.70292580E+01          1.53390614E+01
         97.0000          1.53252548E+02          1.70440276E+01          1.53381866E+01
         98.0000          1.51986378E+02          1.70595827E+01          1.53379837E+01
         99.0000          1.50746499E+02          1.70758987E+01          1.53384291E+01
        100.0000          1.49532125E+02          1.70929520E+01          1.53395004E+01
        110.0000          1.38638358E+02          1.72994418E+01          1.53802748E+01
        111.9990          1.36701670E+02          1.73476113E+01          1.53940831E+01
        112.0010          1.36699768E+02          1.73476605E+01          1.53940977E+01
        120.0000          1.29620080E+02          1.75593849E+01          1.54644459E+01
        130.0000          1.22044874E+02          1.78598182E+01          1.55798868E+01
        140.0000          1.15603611E+02          1.81915016E+01          1.57180874E+01
        150.0000          1.10069427E+02          1.85476812E+01          1.58729478E+01
        160.0000          1.05272068E+02          1.89233142E+01          1.60400200E+01
        167.9990          1.01876520E+02          1.92351791E+01          1.61802131E+01
        168.0010          1.01875715E+02          1.92352582E+01          1.61802488E+01
        169.9990          1.01081663E+02          1.93145259E+01          1.62159983E+01
        170.0000          1.01081271E+02          1.93145657E+01          1.62160163E+01
        170.0010          1.01080878E+02          1.93146055E+01          1.62160343E+01
        180.0000          9.73956772E+01          1.97184727E+01          1.63984796E+01
        190.0000          9.41352398E+01          2.01327136E+01          1.65855585E+01
        200.0000          9.12359036E+01          2.05554473E+01          1.67758489E+01
        210.0000          8.86458052E+01          2.09851973E+01          1.69682815E+01
        220.0000          8.63225058E+01          2.14207685E+01          1.71620403E+01
        230.0000          8.42309461E+01          2.18611846E+01          1.73565018E+01
        231.9990          8.38379778E+01          2.19497316E+01          1.73954150E+01
        232.0010          8.38375887E+01          2.19498202E+01          1.73954540E+01
        240.0000          8.23419104E+01          2.23056423E+01          1.75511911E+01
        250.0000          8.06308598E+01          2.27534757E+01          1.77457475E+01
        260.0000          7.90770335E+01          2.32041294E+01          1.79398989E+01
        270.0000          7.76627499E+01          2.36571374E+01          1.81334425E+01
        280.0000          7.63728573E+01          2.41121068E+01          1.83262293E+01
        290.0000          7.51942980E+01          2.45687046E+01          1.85181525E+01
        300.0000          7.41157594E+01          2.50266476E+01          1.87091382E+01
        310.0000          7.31273925E+01          2.54856936E+01          1.88991380E+01
        320.0000          7.22205836E+01          2.59456353E+01          1.90881236E+01
        330.0000          7.13877669E+01          2.64062942E+01          1.92760823E+01
        340.0000          7.06222703E+01          2.68675165E+01          1.94630132E+01
        350.0000          6.99181878E+01          2.73291691E+01          1.96489245E+01
        360.0000          6.92702730E+01          2.77911367E+01          1.98338313E+01
        370.0000          6.86738498E+01          2.82533193E+01          2.00177538E+01
        380.0000          6.81247376E+01          2.87156297E+01          2.02007158E+01
        390.0000          6.76191871E+01          2.91779921E+01          2.03827438E+01
        400.0000          6.71538269E+01          2.96403404E+01          2.05638660E+01
        407.9990          6.68084646E+01          3.00101236E+01          2.07081132E+01
        408.0010          6.68083811E+01          3.00102161E+01          2.07081492E+01
        410.0000          6.67256171E+01          3.01026169E+01          2.07441115E+01
        414.9990          6.65246137E+01          3.03336659E+01          2.08338968E+01
        415.0010          6.65245349E+01          3.03337583E+01          2.08339327E+01
        420.0000          6.63318095E+01          3.05647710E+01          2.09235099E+01
        430.0000          6.59699140E+01          3.10267587E+01          2.11020909E+01
        440.0000          6.56376691E+01          3.14885415E+01          2.12798837E+01
        450.0000          6.53330163E+01          3.19500858E+01          2.14569173E+01
        460.0000          6.50540780E+01          3.24113621E+01          2.16332197E+01
        470.0000          6.47991382E+01          3.28723449E+01          2.18088182E+01
        480.0000          6.45666258E+01          3.33330118E+01          2.19837392E+01
        490.0000          6.43550994E+01          3.37933434E+01          2.21580079E+01
        500.0000          6.41632345E+01          3.42533228E+01          2.23316487E+01
        510.0000          6.39898120E+01          3.47129355E+01          2.25046848E+01
        520.0000          6.38337079E+01          3.51721689E+01          2.26771383E+01
        530.0000          6.36938845E+01          3.56310122E+01          2.28490303E+01
        540.0000          6.35693819E+01          3.60894563E+01          2.30203810E+01
        550.0000          6.34593115E+01          3.65474933E+01          2.31912095E+01
        560.0000          6.33628491E+01          3.70051167E+01          2.33615338E+01
        570.0000          6.32792296E+01          3.74623212E+01          2.35313712E+01
        580.0000          6.32077414E+01          3.79191023E+01          2.37007379E+01
        590.0000          6.31477224E+01          3.83754565E+01          2.38696493E+01
        600.0000          6.30985554E+01          3.88313810E+01          2.40381200E+01
        610.0000          6.30596645E+01          3.92868739E+01          2.42061639E+01
        620.0000          6.30305119E+01          3.97419336E+01          2.43737940E+01
        620.9990          6.30281149E+01          3.97873702E+01          2.43905180E+01
        621.0010          6.30281102E+01          3.97874612E+01          2.43905515E+01
        630.0000          6.30105946E+01          4.01965594E+01          2.45410227E+01
        640.0000          6.29994420E+01          4.06507508E+01          2.47078616E+01
        650.0000          6.29966129E+01          4.11045081E+01          2.48743218E+01
        654.9990          6.29981890E+01          4.13311786E+01          2.49573966E+01
        655.0010          6.29981900E+01          4.13312693E+01          2.49574298E+01
        660.0000          6.30016939E+01          4.15578316E+01          2.50404138E+01
        670.0000          6.30142966E+01          4.20107222E+01          2.52061474E+01
        680.0000          6.30340562E+01          4.24631811E+01          2.53715321E+01
        690.0000          6.30606296E+01          4.29152096E+01          2.55365766E+01
        700.0000          6.30936940E+01          4.33668096E+01          2.57012894E+01
        710.0000          6.31329453E+01          4.38179828E+01          2.58656784E+01
        720.0000          6.31780967E+01          4.42687314E+01          2.60297511E+01
        730.0000          6.32288777E+01          4.47190577E+01          2.61935147E+01
        740.0000          6.32850329E+01          4.51689640E+01          2.63569758E+01
        750.0000          6.33463210E+01          4.56184528E+01          2.65201409E+01
        760.0000          6.34125139E+01          4.60675270E+01          2.66830161E+01
        770.0000          6.34833956E+01          4.65161891E+01          2.68456071E+01
        774.9990          6.35205229E+01          4.67403218E+01          2.69267816E+01
        775.0010          6.35205380E+01          4.67404114E+01          2.69268140E+01
        780.0000          6.35587617E+01          4.69644422E+01          2.70079194E+01
        790.0000          6.36384186E+01          4.74122890E+01          2.71699583E+01
        800.0000          6.37221826E+01          4.78597325E+01          2.73317286E+01
        810.0000          6.38098797E+01          4.83067759E+01          2.74932350E+01
        820.0000          6.39013444E+01          4.87534222E+01          2.76544821E+01
        830.0000          6.39964197E+01          4.91996745E+01          2.78154740E+01
        840.0000          6.40949564E+01          4.96455359E+01          2.79762149E+01
        850.0000          6.41968126E+01          5.00910096E+01          2.81367087E+01
        860.0000          6.43018533E+01          5.05360989E+01          2.82969589E+01
        870.0000          6.44099500E+01          5.09808068E+01          2.84569693E+01
        880.0000          6.45209804E+01          5.14251367E+01          2.86167430E+01
        890.0000          6.46348278E+01          5.18690916E+01          2.87762834E+01
        900.0000          6.47513810E+01          5.23126749E+01          2.89355936E+01
        910.0000          6.48705341E+01          5.27558897E+01          2.90946764E+01
        920.0000          6.49921858E+01          5.31987391E+01          2.92535348E+01
        930.0000          6.51162396E+01          5.36412264E+01          2.94121714E+01
        940.0000          6.52426031E+01          5.40833547E+01          2.95705889E+01
        950.0000          6.53711883E+01          5.45251272E+01          2.97287898E+01
        960.0000          6.55019108E+01          5.49665470E+01          2.98867764E+01
        970.0000          6.56346901E+01          5.54076171E+01          3.00445511E+01
        980.0000          6.57694491E+01          5.58483407E+01          3.02021160E+01
        990.0000          6.59061138E+01          5.62887209E+01          3.03594735E+01
       1000.0000          6.60446138E+01          5.67287605E+01          3.05166255E+01
       1100.0000          6.75169514E+01          6.11110807E+01          3.20772525E+01
       1200.0000          6.91132578E+01          6.54624817E+01          3.36191753E+01
       1300.0000          7.07964665E+01          6.97855099E+01          3.51436766E+01
       1400.0000          7.25409424E+01          7.40824181E+01          3.66517887E+01
       1500.0000          7.43285392E+01          7.83551913E+01          3.81443844E+01
       1600.0000          7.61461627E+01          8.26055797E+01          3.96222291E+01
       1700.0000          7.79842124E+01          8.68351294E+01          4.10860103E+01
       1800.0000          7.98355568E+01          9.10452106E+01          4.25363556E+01
       1900.0000          8.16948409E+01          9.52370424E+01          4.39738440E+01
       2000.0000          8.35580094E+01          9.94117132E+01          4.53990133E+01
       2100.0000          8.54219708E+01          1.03570199E+02          4.68123654E+01
       2200.0000          8.72843574E+01          1.07713377E+02          4.82143700E+01
       2300.0000          8.91433513E+01          1.11842042E+02          4.96054677E+01
       2400.0000          9.09975555E+01          1.15956911E+02          5.09860726E+01
       2475.9990          9.24028597E+01          1.19075349E+02          5.20285416E+01
       2476.0010          9.24028966E+01          1.19075431E+02          5.20285689E+01
       2500.0000          9.28458985E+01          1.20058639E+02          5.23565742E+01
       2600.0000          9.46875622E+01          1.24147821E+02          5.37173393E+01
       2700.0000          9.65219271E+01          1.28225004E+02          5.50687141E+01
       2800.0000          9.83485299E+01          1.32290687E+02          5.64110249E+01
       2900.0000          1.00167031E+02          1.36345332E+02          5.77445802E+01
       3000.0000          1.01977189E+02          1.40389364E+02          5.90696716E+01
       3100.0000          1.03778841E+02          1.44423175E+02          6.03865752E+01
       3200.0000          1.05571886E+02          1.48447129E+02          6.16955521E+01
       3300.0000          1.07356273E+02          1.52461566E+02          6.29968503E+01
       3400.0000          1.09131991E+02          1.56466799E+02          6.42907046E+01
       3500.0000          1.10899061E+02          1.60463123E+02          6.55773382E+01
       3541.9990          1.11638645E+02          1.62138949E+02          6.61156097E+01
       3542.0010          1.11638680E+02          1.62139029E+02          6.61156353E+01
       3600.0000          1.12657529E+02          1.64450812E+02          6.68569632E+01
       3700.0000          1.14407461E+02          1.68430122E+02          6.81297812E+01
       3731.9990          1.14965632E+02          1.69701732E+02          6.85356643E+01
       3732.0010          1.14965667E+02          1.69701811E+02          6.85356896E+01
       3800.0000          1.16148939E+02          1.72401295E+02          6.93959842E+01
       3900.0000          1.17882056E+02          1.76364556E+02          7.06557550E+01
       4000.0000          1.19606918E+02          1.80320118E+02          7.19092677E+01
       4021.9990          1.19985273E+02          1.81189289E+02          7.21842049E+01
       4022.0010          1.19985307E+02          1.81189368E+02          7.21842299E+01
       4100.0000          1.21323633E+02          1.84268182E+02          7.31566888E+01
       4200.0000          1.23032320E+02          1.88208936E+02          7.43981769E+01
       4300.0000          1.24733097E+02          1.92142559E+02          7.56338837E+01
       4400.0000          1.26426089E+02          1.96069220E+02          7.68639541E+01
       4500.0000          1.28111418E+02          1.99989079E+02          7.80885269E+01
       4600.0000          1.29789211E+02          2.03902286E+02          7.93077348E+01
       4700.0000          1.31459591E+02          2.07808986E+02          8.05217052E+01
       4800.0000          1.33122685E+02          2.11709315E+02          8.17305599E+01
       4900.0000          1.34778614E+02          2.15603404E+02          8.29344160E+01
       5000.0000          1.36427503E+02          2.19491376E+02          8.41333858E+01
       5100.0000          1.38069471E+02          2.23373350E+02          8.53275771E+01
       5200.0000          1.39704637E+02          2.27249436E+02          8.65170937E+01
       5300.0000          1.41333118E+02          2.31119744E+02          8.77020353E+01
       5400.0000          1.42955030E+02          2.34984375E+02          8.88824977E+01
       5500.0000          1.44570484E+02          2.38843428E+02          9.00585734E+01
       5600.0000          1.46179591E+02          2.42696997E+02          9.12303512E+01
       5700.0000          1.47782459E+02          2.46545171E+02          9.23979169E+01
       5800.0000          1.49379193E+02          2.50388037E+02          9.35613531E+01
       5900.0000          1.50969897E+02          2.54225679E+02          9.47207395E+01
       6000.0000          1.52554672E+02          2.58058174E+02          9.58761532E+01
       6100.0000          1.54133616E+02          2.61885601E+02          9.70276684E+01
       6200.0000          1.55706825E+02          2.65708031E+02          9.81753570E+01
       6300.0000          1.57274393E+02          2.69525537E+02          9.93192882E+01
       6400.0000          1.58836412E+02          2.73338185E+02          1.00459529E+02
       6500.0000          1.60392971E+02          2.77146041E+02          1.01596145E+02
       6600.0000          1.61944157E+02          2.80949169E+02          1.02729198E+02
       6700.0000          1.63490056E+02          2.84747629E+02          1.03858750E+02
       6800.0000          1.65030749E+02          2.88541480E+02          1.04984859E+02
       6900.0000          1.66566318E+02          2.92330779E+02          1.06107582E+02
       7000.0000          1.68096842E+02          2.96115580E+02          1.07226975E+02
       7100.0000          1.69622398E+02          2.99895937E+02          1.08343092E+02
       7200.0000          1.71143061E+02          3.03671901E+02          1.09455984E+02
       7300.0000          1.72658904E+02          3.07443520E+02          1.10565701E+02
       7400.0000          1.74169998E+02          3.11210844E+02          1.11672294E+02
       7500.0000          1.75676413E+02          3.14973919E+02          1.12775809E+02
       7600.0000          1.77178217E+02          3.18732788E+02          1.13876293E+02
       7700.0000          1.78675476E+02          3.22487497E+02          1.14973791E+02
       7800.0000          1.80168256E+02          3.26238087E+02          1.16068347E+02
       7900.0000          1.81656618E+02          3.29984600E+02          1.17160002E+02
       8000.0000          1.83140624E+02          3.33727074E+02          1.18248799E+02
       8100.0000          1.84620336E+02          3.37465550E+02          1.19334778E+02
       8200.0000          1.86095811E+02          3.41200063E+02          1.20417977E+02
       8300.0000          1.87567107E+02          3.44930651E+02          1.21498435E+02
       8400.0000          1.89034280E+02          3.48657349E+02          1.22576189E+02
       8500.0000          1.90497384E+02          3.52380192E+02          1.23651275E+02
       8600.0000          1.91956473E+02          3.56099212E+02          1.24723729E+02
       8700.0000          1.93411599E+02          3.59814443E+02          1.25793584E+02
       8800.0000          1.94862813E+02          3.63525917E+02          1.26860875E+02
       8900.0000          1.96310166E+02          3.67233663E+02          1.27925633E+02
       9000.0000          1.97753705E+02          3.70937713E+02          1.28987892E+02
       9100.0000          1.99193478E+02          3.74638095E+02          1.30047680E+02
       9200.0000          2.00629532E+02          3.78334838E+02          1.31105030E+02
       9300.0000          2.02061912E+02          3.82027970E+02          1.32159971E+02
       9400.0000          2.03490663E+02          3.85717518E+02          1.33212532E+02
       9500.0000          2.04915829E+02          3.89403508E+02          1.34262740E+02
       9600.0000          2.06337451E+02          3.93085967E+02          1.35310624E+02
       9700.0000          2.07755573E+02          3.96764920E+02          1.36356210E+02
       9800.0000          2.09170234E+02          4.00440391E+02          1.37399525E+02
       9900.0000          2.10581474E+02          4.04112404E+02          1.38440594E+02
      10000.0000          2.11989333E+02          4.07780982E+02          1.39479443E+02
      11000.0000          2.25889988E+02          4.44282691E+02          1.49750974E+02
      12000.0000          2.39490072E+02          4.80463319E+02          1.59824506E+02
      13000.0000          2.52817856E+02          5.16339517E+02          1.69717998E+02
      14000.0000          2.65896883E+02          5.51925102E+02          1.79446343E+02
      15000.0000          2.78746996E+02          5.87231743E+02          1.89022059E+02
      16000.0000          2.91385107E+02          6.22269444E+02          1.98455804E+02
      17000.0000          3.03825765E+02          6.57046897E+02          2.07756744E+02
      18000.0000          3.16081602E+02          6.91571743E+02          2.16932843E+02
      19000.0000          3.28163674E+02          7.25850766E+02          2.25991073E+02
      20000.0000          3.40081722E+02          7.59890051E+02          2.34937590E+02
      21000.0000          3.51844392E+02          7.93695095E+02          2.43777863E+02
      22000.0000          3.63459399E+02          8.27270906E+02          2.52516783E+02
      23000.0000          3.74933670E+02          8.60622073E+02          2.61158749E+02
      24000.0000          3.86273452E+02          8.93752831E+02          2.69707736E+02
      25000.0000          3.97484408E+02          9.26667106E+02          2.78167356E+02
      26000.0000          4.08571693E+02          9.59368560E+02          2.86540904E+02
      26714.9990          4.16425896E+02          9.82621494E+02          2.92476894E+02
      26715.0010          4.16425918E+02          9.82621558E+02          2.92476911E+02
      27000.0000          4.19540017E+02          9.91860620E+02          2.94831397E+02
      28000.0000          4.30393704E+02          1.02414651E+03          3.03041611E+02
      29000.0000          4.41136732E+02          1.05622927E+03          3.11174107E+02
      30000.0000          4.51772776E+02          1.08811178E+03          3.19231255E+02
      31000.0000          4.62305241E+02          1.11979679E+03          3.27215258E+02
      32000.0000          4.72737291E+02          1.15128690E+03          3.35128166E+02
      33000.0000          4.83071872E+02          1.18258460E+03          3.42971895E+02
      34000.0000          4.93311737E+02          1.21369229E+03          3.50748236E+02
      35000.0000          5.03459464E+02          1.24461225E+03          3.58458873E+02
      36000.0000          5.13517470E+02          1.27534670E+03          3.66105388E+02
      37000.0000          5.23488030E+02          1.30589776E+03          3.73689273E+02
      38000.0000          5.33373287E+02          1.33626748E+03          3.81211937E+02
      39000.0000          5.43175263E+02          1.36645786E+03          3.88674713E+02
      40000.0000          5.52895872E+02          1.39647081E+03          3.96078867E+02
      41000.0000          5.62536927E+02          1.42630820E+03          4.03425597E+02
      42000.0000          5.72100148E+02          1.45597185E+03          4.10716046E+02
      43000.0000          5.81587171E+02          1.48546352E+03          4.17951301E+02
      44000.0000          5.90999553E+02          1.51478492E+03          4.25132402E+02
      45000.0000          6.00338777E+02          1.54393773E+03          4.32260339E+02
      46000.0000          6.09606260E+02          1.57292359E+03          4.39336061E+02
      47000.0000          6.18803357E+02          1.60174408E+03          4.46360477E+02
      48000.0000          6.27931363E+02          1.63040076E+03          4.53334459E+02
      49000.0000          6.36991520E+02          1.65889515E+03          4.60258843E+02
      50000.0000          6.45985019E+02          1.68722875E+03          4.67134435E+02
