#Energy      Ba  Total
         70.0000          3.71501270E+02          3.71501270E+02
         71.0000          3.66774105E+02          3.66774105E+02
         72.0000          3.62179123E+02          3.62179123E+02
         73.0000          3.57710908E+02          3.57710908E+02
         74.0000          3.53364332E+02          3.53364332E+02
         75.0000          3.49134542E+02          3.49134542E+02
         76.0000          3.45016940E+02          3.45016940E+02
         77.0000          3.41007165E+02          3.41007165E+02
         78.0000          3.37101081E+02          3.37101081E+02
         79.0000          3.33294759E+02          3.33294759E+02
         80.0000          3.29584468E+02          3.29584468E+02
         81.0000          3.25966660E+02          3.25966660E+02
         82.0000          3.22437958E+02          3.22437958E+02
         83.0000          3.18995150E+02          3.18995150E+02
         84.0000          3.15635175E+02          3.15635175E+02
         85.0000          3.12355116E+02          3.12355116E+02
         86.0000          3.09152192E+02          3.09152192E+02
         87.0000          3.06023750E+02          3.06023750E+02
         88.0000          3.02967255E+02          3.02967255E+02
         89.0000          2.99980287E+02          2.99980287E+02
         90.0000          2.97060535E+02          2.97060535E+02
         91.0000          2.94205788E+02          2.94205788E+02
         91.9990          2.91416690E+02          2.91416690E+02
         92.0000          2.91413928E+02          2.91413928E+02
         92.0010          2.91411167E+02          2.91411167E+02
         93.0000          2.88682934E+02          2.88682934E+02
         93.9990          2.86013508E+02          2.86013508E+02
         94.0000          2.86010865E+02          2.86010865E+02
         94.0010          2.86008222E+02          2.86008222E+02
         95.0000          2.83395865E+02          2.83395865E+02
         96.0000          2.80836155E+02          2.80836155E+02
         97.0000          2.78330027E+02          2.78330027E+02
         98.0000          2.75875844E+02          2.75875844E+02
         99.0000          2.73472035E+02          2.73472035E+02
        100.0000          2.71117093E+02          2.71117093E+02
        110.0000          2.49962585E+02          2.49962585E+02
        120.0000          2.32401548E+02          2.32401548E+02
        130.0000          2.17605685E+02          2.17605685E+02
        140.0000          2.04982935E+02          2.04982935E+02
        150.0000          1.94098849E+02          1.94098849E+02
        160.0000          1.84627413E+02          1.84627413E+02
        170.0000          1.76319202E+02          1.76319202E+02
        180.0000          1.68980143E+02          1.68980143E+02
        180.9990          1.68294029E+02          1.68294029E+02
        181.0010          1.68292664E+02          1.68292664E+02
        190.0000          1.62456965E+02          1.62456965E+02
        192.9990          1.60640703E+02          1.60640703E+02
        193.0010          1.60639512E+02          1.60639512E+02
        200.0000          1.56627017E+02          1.56627017E+02
        210.0000          1.51390988E+02          1.51390988E+02
        220.0000          1.46667607E+02          1.46667607E+02
        230.0000          1.42389730E+02          1.42389730E+02
        240.0000          1.38501397E+02          1.38501397E+02
        250.0000          1.34955601E+02          1.34955601E+02
        253.9990          1.33624400E+02          1.33624400E+02
        254.0010          1.33623746E+02          1.33623746E+02
        260.0000          1.31712566E+02          1.31712566E+02
        270.0000          1.28738412E+02          1.28738412E+02
        280.0000          1.26004098E+02          1.26004098E+02
        290.0000          1.23484595E+02          1.23484595E+02
        300.0000          1.21158212E+02          1.21158212E+02
        310.0000          1.19006061E+02          1.19006061E+02
        320.0000          1.17011620E+02          1.17011620E+02
        330.0000          1.15160373E+02          1.15160373E+02
        340.0000          1.13439513E+02          1.13439513E+02
        350.0000          1.11837703E+02          1.11837703E+02
        360.0000          1.10344869E+02          1.10344869E+02
        370.0000          1.08952027E+02          1.08952027E+02
        380.0000          1.07651145E+02          1.07651145E+02
        390.0000          1.06435016E+02          1.06435016E+02
        400.0000          1.05297158E+02          1.05297158E+02
        410.0000          1.04231722E+02          1.04231722E+02
        420.0000          1.03233422E+02          1.03233422E+02
        430.0000          1.02297463E+02          1.02297463E+02
        440.0000          1.01419491E+02          1.01419491E+02
        450.0000          1.00595539E+02          1.00595539E+02
        460.0000          9.98219904E+01          9.98219904E+01
        470.0000          9.90955351E+01          9.90955351E+01
        480.0000          9.84131426E+01          9.84131426E+01
        490.0000          9.77720315E+01          9.77720315E+01
        500.0000          9.71696445E+01          9.71696445E+01
        510.0000          9.66036268E+01          9.66036268E+01
        520.0000          9.60718062E+01          9.60718062E+01
        530.0000          9.55721760E+01          9.55721760E+01
        540.0000          9.51028796E+01          9.51028796E+01
        550.0000          9.46621971E+01          9.46621971E+01
        560.0000          9.42485324E+01          9.42485324E+01
        570.0000          9.38604030E+01          9.38604030E+01
        580.0000          9.34964295E+01          9.34964295E+01
        590.0000          9.31553275E+01          9.31553275E+01
        600.0000          9.28358992E+01          9.28358992E+01
        610.0000          9.25370264E+01          9.25370264E+01
        620.0000          9.22576639E+01          9.22576639E+01
        630.0000          9.19968341E+01          9.19968341E+01
        640.0000          9.17536212E+01          9.17536212E+01
        650.0000          9.15271667E+01          9.15271667E+01
        660.0000          9.13166649E+01          9.13166649E+01
        670.0000          9.11213591E+01          9.11213591E+01
        680.0000          9.09405378E+01          9.09405378E+01
        690.0000          9.07735314E+01          9.07735314E+01
        700.0000          9.06197095E+01          9.06197095E+01
        710.0000          9.04784777E+01          9.04784777E+01
        720.0000          9.03492753E+01          9.03492753E+01
        730.0000          9.02315729E+01          9.02315729E+01
        740.0000          9.01248703E+01          9.01248703E+01
        750.0000          9.00286948E+01          9.00286948E+01
        760.0000          8.99425986E+01          8.99425986E+01
        770.0000          8.98661583E+01          8.98661583E+01
        780.0000          8.97989723E+01          8.97989723E+01
        781.9990          8.97866178E+01          8.97866178E+01
        782.0010          8.97866056E+01          8.97866056E+01
        790.0000          8.97406598E+01          8.97406598E+01
        796.9990          8.97049315E+01          8.97049315E+01
        797.0010          8.97049219E+01          8.97049219E+01
        800.0000          8.96908598E+01          8.96908598E+01
        810.0000          8.96492293E+01          8.96492293E+01
        820.0000          8.96154427E+01          8.96154427E+01
        830.0000          8.95891902E+01          8.95891902E+01
        840.0000          8.95701774E+01          8.95701774E+01
        850.0000          8.95581241E+01          8.95581241E+01
        860.0000          8.95527634E+01          8.95527634E+01
        870.0000          8.95538411E+01          8.95538411E+01
        880.0000          8.95611150E+01          8.95611150E+01
        890.0000          8.95743538E+01          8.95743538E+01
        900.0000          8.95933371E+01          8.95933371E+01
        910.0000          8.96178545E+01          8.96178545E+01
        920.0000          8.96477048E+01          8.96477048E+01
        930.0000          8.96826960E+01          8.96826960E+01
        940.0000          8.97226444E+01          8.97226444E+01
        950.0000          8.97673743E+01          8.97673743E+01
        960.0000          8.98167176E+01          8.98167176E+01
        970.0000          8.98705136E+01          8.98705136E+01
        980.0000          8.99286081E+01          8.99286081E+01
        990.0000          8.99908534E+01          8.99908534E+01
       1000.0000          9.00571081E+01          9.00571081E+01
       1062.9990          9.05585164E+01          9.05585164E+01
       1063.0010          9.05585344E+01          9.05585344E+01
       1100.0000          9.09128634E+01          9.09128634E+01
       1137.9990          9.13164100E+01          9.13164100E+01
       1138.0010          9.13164322E+01          9.13164322E+01
       1200.0000          9.20495740E+01          9.20495740E+01
       1292.9990          9.32923012E+01          9.32923012E+01
       1293.0010          9.32923295E+01          9.32923295E+01
       1300.0000          9.33917513E+01          9.33917513E+01
       1400.0000          9.48865265E+01          9.48865265E+01
       1500.0000          9.64959476E+01          9.64959476E+01
       1600.0000          9.81921981E+01          9.81921981E+01
       1700.0000          9.99545258E+01          9.99545258E+01
       1800.0000          1.01767213E+02          1.01767213E+02
       1900.0000          1.03618197E+02          1.03618197E+02
       2000.0000          1.05498117E+02          1.05498117E+02
       2100.0000          1.07399637E+02          1.07399637E+02
       2200.0000          1.09316960E+02          1.09316960E+02
       2300.0000          1.11245471E+02          1.11245471E+02
       2400.0000          1.13181474E+02          1.13181474E+02
       2500.0000          1.15121992E+02          1.15121992E+02
       2600.0000          1.17064620E+02          1.17064620E+02
       2700.0000          1.19007407E+02          1.19007407E+02
       2800.0000          1.20948767E+02          1.20948767E+02
       2900.0000          1.22887407E+02          1.22887407E+02
       3000.0000          1.24822276E+02          1.24822276E+02
       3100.0000          1.26752516E+02          1.26752516E+02
       3200.0000          1.28677432E+02          1.28677432E+02
       3300.0000          1.30596459E+02          1.30596459E+02
       3400.0000          1.32509142E+02          1.32509142E+02
       3500.0000          1.34415119E+02          1.34415119E+02
       3600.0000          1.36314100E+02          1.36314100E+02
       3700.0000          1.38205859E+02          1.38205859E+02
       3800.0000          1.40090225E+02          1.40090225E+02
       3900.0000          1.41967068E+02          1.41967068E+02
       4000.0000          1.43836297E+02          1.43836297E+02
       4100.0000          1.45697851E+02          1.45697851E+02
       4200.0000          1.47551696E+02          1.47551696E+02
       4300.0000          1.49397819E+02          1.49397819E+02
       4400.0000          1.51236225E+02          1.51236225E+02
       4500.0000          1.53066936E+02          1.53066936E+02
       4600.0000          1.54889985E+02          1.54889985E+02
       4700.0000          1.56705417E+02          1.56705417E+02
       4800.0000          1.58513286E+02          1.58513286E+02
       4900.0000          1.60313652E+02          1.60313652E+02
       5000.0000          1.62106582E+02          1.62106582E+02
       5100.0000          1.63892149E+02          1.63892149E+02
       5200.0000          1.65670429E+02          1.65670429E+02
       5248.9990          1.66539131E+02          1.66539131E+02
       5249.0010          1.66539167E+02          1.66539167E+02
       5300.0000          1.67441499E+02          1.67441499E+02
       5400.0000          1.69205442E+02          1.69205442E+02
       5500.0000          1.70962342E+02          1.70962342E+02
       5600.0000          1.72712283E+02          1.72712283E+02
       5625.9990          1.73166121E+02          1.73166121E+02
       5626.0010          1.73166156E+02          1.73166156E+02
       5700.0000          1.74455350E+02          1.74455350E+02
       5800.0000          1.76191631E+02          1.76191631E+02
       5900.0000          1.77921212E+02          1.77921212E+02
       5990.9990          1.79489363E+02          1.79489363E+02
       5991.0010          1.79489397E+02          1.79489397E+02
       6000.0000          1.79644178E+02          1.79644178E+02
       6100.0000          1.81360617E+02          1.81360617E+02
       6200.0000          1.83070615E+02          1.83070615E+02
       6300.0000          1.84774256E+02          1.84774256E+02
       6400.0000          1.86471625E+02          1.86471625E+02
       6500.0000          1.88162805E+02          1.88162805E+02
       6600.0000          1.89847880E+02          1.89847880E+02
       6700.0000          1.91526931E+02          1.91526931E+02
       6800.0000          1.93200038E+02          1.93200038E+02
       6900.0000          1.94867281E+02          1.94867281E+02
       7000.0000          1.96528738E+02          1.96528738E+02
       7100.0000          1.98184486E+02          1.98184486E+02
       7200.0000          1.99834600E+02          1.99834600E+02
       7300.0000          2.01479155E+02          2.01479155E+02
       7400.0000          2.03118225E+02          2.03118225E+02
       7500.0000          2.04751881E+02          2.04751881E+02
       7600.0000          2.06380193E+02          2.06380193E+02
       7700.0000          2.08003231E+02          2.08003231E+02
       7800.0000          2.09621064E+02          2.09621064E+02
       7900.0000          2.11233757E+02          2.11233757E+02
       8000.0000          2.12841377E+02          2.12841377E+02
       8100.0000          2.14443988E+02          2.14443988E+02
       8200.0000          2.16041652E+02          2.16041652E+02
       8300.0000          2.17634433E+02          2.17634433E+02
       8400.0000          2.19222390E+02          2.19222390E+02
       8500.0000          2.20805583E+02          2.20805583E+02
       8600.0000          2.22384070E+02          2.22384070E+02
       8700.0000          2.23957910E+02          2.23957910E+02
       8800.0000          2.25527157E+02          2.25527157E+02
       8900.0000          2.27091868E+02          2.27091868E+02
       9000.0000          2.28652095E+02          2.28652095E+02
       9100.0000          2.30207893E+02          2.30207893E+02
       9200.0000          2.31759313E+02          2.31759313E+02
       9300.0000          2.33306406E+02          2.33306406E+02
       9400.0000          2.34849223E+02          2.34849223E+02
       9500.0000          2.36387812E+02          2.36387812E+02
       9600.0000          2.37922221E+02          2.37922221E+02
       9700.0000          2.39452497E+02          2.39452497E+02
       9800.0000          2.40978687E+02          2.40978687E+02
       9900.0000          2.42500837E+02          2.42500837E+02
      10000.0000          2.44018991E+02          2.44018991E+02
      11000.0000          2.58989973E+02          2.58989973E+02
      12000.0000          2.73604719E+02          2.73604719E+02
      13000.0000          2.87896356E+02          2.87896356E+02
      14000.0000          3.01892798E+02          3.01892798E+02
      15000.0000          3.15617783E+02          3.15617783E+02
      16000.0000          3.29091681E+02          3.29091681E+02
      17000.0000          3.42332114E+02          3.42332114E+02
      18000.0000          3.55354446E+02          3.55354446E+02
      19000.0000          3.68172166E+02          3.68172166E+02
      20000.0000          3.80797198E+02          3.80797198E+02
      21000.0000          3.93240141E+02          3.93240141E+02
      22000.0000          4.05510474E+02          4.05510474E+02
      23000.0000          4.17616712E+02          4.17616712E+02
      24000.0000          4.29566546E+02          4.29566546E+02
      25000.0000          4.41366950E+02          4.41366950E+02
      26000.0000          4.53024274E+02          4.53024274E+02
      27000.0000          4.64544323E+02          4.64544323E+02
      28000.0000          4.75932423E+02          4.75932423E+02
      29000.0000          4.87193474E+02          4.87193474E+02
      30000.0000          4.98332002E+02          4.98332002E+02
      31000.0000          5.09352196E+02          5.09352196E+02
      32000.0000          5.20257947E+02          5.20257947E+02
      33000.0000          5.31052875E+02          5.31052875E+02
      34000.0000          5.41740362E+02          5.41740362E+02
      35000.0000          5.52323568E+02          5.52323568E+02
      36000.0000          5.62805456E+02          5.62805456E+02
      37000.0000          5.73188809E+02          5.73188809E+02
      37441.9990          5.77747524E+02          5.77747524E+02
      37442.0010          5.77747545E+02          5.77747545E+02
      38000.0000          5.83476247E+02          5.83476247E+02
      39000.0000          5.93670239E+02          5.93670239E+02
      40000.0000          6.03773120E+02          6.03773120E+02
      41000.0000          6.13787097E+02          6.13787097E+02
      42000.0000          6.23714261E+02          6.23714261E+02
      43000.0000          6.33556599E+02          6.33556599E+02
      44000.0000          6.43315998E+02          6.43315998E+02
      45000.0000          6.52994254E+02          6.52994254E+02
      46000.0000          6.62593081E+02          6.62593081E+02
      47000.0000          6.72114111E+02          6.72114111E+02
      48000.0000          6.81558908E+02          6.81558908E+02
      49000.0000          6.90928964E+02          6.90928964E+02
      50000.0000          7.00225711E+02          7.00225711E+02
