#Energy      Ir  Total
         58.0000          3.06926694E+02          3.06926694E+02
         59.0000          3.01927250E+02          3.01927250E+02
         60.0000          2.97094495E+02          2.97094495E+02
         61.0000          2.92420245E+02          2.92420245E+02
         62.0000          2.87896843E+02          2.87896843E+02
         63.0000          2.83517118E+02          2.83517118E+02
         63.9990          2.79278522E+02          2.79278522E+02
         64.0000          2.79274346E+02          2.79274346E+02
         64.0010          2.79270169E+02          2.79270169E+02
         65.0000          2.75162215E+02          2.75162215E+02
         65.9990          2.71178726E+02          2.71178726E+02
         66.0000          2.71174799E+02          2.71174799E+02
         66.0010          2.71170872E+02          2.71170872E+02
         66.9990          2.67310331E+02          2.67310331E+02
         67.0000          2.67306521E+02          2.67306521E+02
         67.0010          2.67302710E+02          2.67302710E+02
         68.0000          2.63552134E+02          2.63552134E+02
         69.0000          2.59906695E+02          2.59906695E+02
         70.0000          2.56365541E+02          2.56365541E+02
         71.0000          2.52924275E+02          2.52924275E+02
         72.0000          2.49578739E+02          2.49578739E+02
         73.0000          2.46325008E+02          2.46325008E+02
         74.0000          2.43159364E+02          2.43159364E+02
         75.0000          2.40078291E+02          2.40078291E+02
         76.0000          2.37078454E+02          2.37078454E+02
         77.0000          2.34156695E+02          2.34156695E+02
         78.0000          2.31310015E+02          2.31310015E+02
         79.0000          2.28535568E+02          2.28535568E+02
         80.0000          2.25830648E+02          2.25830648E+02
         81.0000          2.23192686E+02          2.23192686E+02
         82.0000          2.20619235E+02          2.20619235E+02
         83.0000          2.18107967E+02          2.18107967E+02
         84.0000          2.15656665E+02          2.15656665E+02
         85.0000          2.13263216E+02          2.13263216E+02
         86.0000          2.10925604E+02          2.10925604E+02
         87.0000          2.08641908E+02          2.08641908E+02
         88.0000          2.06410291E+02          2.06410291E+02
         89.0000          2.04229002E+02          2.04229002E+02
         90.0000          2.02096365E+02          2.02096365E+02
         91.0000          2.00010779E+02          2.00010779E+02
         92.0000          1.97970712E+02          1.97970712E+02
         93.0000          1.95974697E+02          1.95974697E+02
         94.0000          1.94021332E+02          1.94021332E+02
         95.0000          1.92109270E+02          1.92109270E+02
         96.0000          1.90237223E+02          1.90237223E+02
         97.0000          1.88403955E+02          1.88403955E+02
         98.0000          1.86608282E+02          1.86608282E+02
         98.9990          1.84850806E+02          1.84850806E+02
         99.0000          1.84849065E+02          1.84849065E+02
         99.0010          1.84847323E+02          1.84847323E+02
        100.0000          1.83125212E+02          1.83125212E+02
        110.0000          1.67619806E+02          1.67619806E+02
        120.0000          1.54714747E+02          1.54714747E+02
        130.0000          1.43810611E+02          1.43810611E+02
        140.0000          1.34479043E+02          1.34479043E+02
        150.0000          1.26405788E+02          1.26405788E+02
        160.0000          1.19355069E+02          1.19355069E+02
        170.0000          1.13146524E+02          1.13146524E+02
        180.0000          1.07639830E+02          1.07639830E+02
        190.0000          1.02724175E+02          1.02724175E+02
        200.0000          9.83108888E+01          9.83108888E+01
        210.0000          9.43281753E+01          9.43281753E+01
        220.0000          9.07172808E+01          9.07172808E+01
        230.0000          8.74296616E+01          8.74296616E+01
        240.0000          8.44248589E+01          8.44248589E+01
        250.0000          8.16688832E+01          8.16688832E+01
        260.0000          7.91329713E+01          7.91329713E+01
        270.0000          7.67926190E+01          7.67926190E+01
        280.0000          7.46268217E+01          7.46268217E+01
        290.0000          7.26174710E+01          7.26174710E+01
        297.9990          7.11121974E+01          7.11121974E+01
        298.0010          7.11118316E+01          7.11118316E+01
        300.0000          7.07488724E+01          7.07488724E+01
        310.0000          6.90073566E+01          6.90073566E+01
        313.9990          6.83437668E+01          6.83437668E+01
        314.0010          6.83434394E+01          6.83434394E+01
        320.0000          6.73809629E+01          6.73809629E+01
        330.0000          6.58591806E+01          6.58591806E+01
        340.0000          6.44327359E+01          6.44327359E+01
        350.0000          6.30934154E+01          6.30934154E+01
        360.0000          6.18339186E+01          6.18339186E+01
        370.0000          6.06477348E+01          6.06477348E+01
        380.0000          5.95290393E+01          5.95290393E+01
        390.0000          5.84726052E+01          5.84726052E+01
        400.0000          5.74737290E+01          5.74737290E+01
        410.0000          5.65281664E+01          5.65281664E+01
        420.0000          5.56320782E+01          5.56320782E+01
        430.0000          5.47819826E+01          5.47819826E+01
        440.0000          5.39747150E+01          5.39747150E+01
        450.0000          5.32073925E+01          5.32073925E+01
        460.0000          5.24773834E+01          5.24773834E+01
        470.0000          5.17822807E+01          5.17822807E+01
        480.0000          5.11198781E+01          5.11198781E+01
        490.0000          5.04881500E+01          5.04881500E+01
        496.9990          5.00632478E+01          5.00632478E+01
        497.0010          5.00631283E+01          5.00631283E+01
        500.0000          4.98852334E+01          4.98852334E+01
        510.0000          4.93094117E+01          4.93094117E+01
        520.0000          4.87591007E+01          4.87591007E+01
        530.0000          4.82328363E+01          4.82328363E+01
        540.0000          4.77292630E+01          4.77292630E+01
        550.0000          4.72471246E+01          4.72471246E+01
        560.0000          4.67852545E+01          4.67852545E+01
        570.0000          4.63425687E+01          4.63425687E+01
        580.0000          4.59180581E+01          4.59180581E+01
        580.9990          4.58766113E+01          4.58766113E+01
        581.0010          4.58765285E+01          4.58765285E+01
        590.0000          4.55107822E+01          4.55107822E+01
        600.0000          4.51198637E+01          4.51198637E+01
        610.0000          4.47444829E+01          4.47444829E+01
        620.0000          4.43838735E+01          4.43838735E+01
        630.0000          4.40373179E+01          4.40373179E+01
        640.0000          4.37041437E+01          4.37041437E+01
        650.0000          4.33837199E+01          4.33837199E+01
        660.0000          4.30754543E+01          4.30754543E+01
        670.0000          4.27787901E+01          4.27787901E+01
        680.0000          4.24932034E+01          4.24932034E+01
        690.0000          4.22182009E+01          4.22182009E+01
        692.9990          4.21377206E+01          4.21377206E+01
        693.0010          4.21376672E+01          4.21376672E+01
        700.0000          4.19533178E+01          4.19533178E+01
        710.0000          4.16981156E+01          4.16981156E+01
        720.0000          4.14521802E+01          4.14521802E+01
        730.0000          4.12151205E+01          4.12151205E+01
        740.0000          4.09865668E+01          4.09865668E+01
        750.0000          4.07661691E+01          4.07661691E+01
        760.0000          4.05535959E+01          4.05535959E+01
        770.0000          4.03485334E+01          4.03485334E+01
        780.0000          4.01506837E+01          4.01506837E+01
        790.0000          3.99597643E+01          3.99597643E+01
        800.0000          3.97755069E+01          3.97755069E+01
        810.0000          3.95976565E+01          3.95976565E+01
        820.0000          3.94259708E+01          3.94259708E+01
        830.0000          3.92602192E+01          3.92602192E+01
        840.0000          3.91001823E+01          3.91001823E+01
        850.0000          3.89456510E+01          3.89456510E+01
        860.0000          3.87964261E+01          3.87964261E+01
        870.0000          3.86523176E+01          3.86523176E+01
        880.0000          3.85131443E+01          3.85131443E+01
        890.0000          3.83787333E+01          3.83787333E+01
        900.0000          3.82489193E+01          3.82489193E+01
        910.0000          3.81235445E+01          3.81235445E+01
        920.0000          3.80024579E+01          3.80024579E+01
        930.0000          3.78855154E+01          3.78855154E+01
        940.0000          3.77725786E+01          3.77725786E+01
        950.0000          3.76635155E+01          3.76635155E+01
        960.0000          3.75581995E+01          3.75581995E+01
        970.0000          3.74565090E+01          3.74565090E+01
        980.0000          3.73583280E+01          3.73583280E+01
        990.0000          3.72635447E+01          3.72635447E+01
       1000.0000          3.71720522E+01          3.71720522E+01
       1100.0000          3.64174005E+01          3.64174005E+01
       1200.0000          3.59004947E+01          3.59004947E+01
       1300.0000          3.55632590E+01          3.55632590E+01
       1400.0000          3.53645210E+01          3.53645210E+01
       1500.0000          3.52743300E+01          3.52743300E+01
       1600.0000          3.52704161E+01          3.52704161E+01
       1700.0000          3.53359048E+01          3.53359048E+01
       1800.0000          3.54577982E+01          3.54577982E+01
       1900.0000          3.56259395E+01          3.56259395E+01
       2000.0000          3.58322905E+01          3.58322905E+01
       2043.9990          3.59334816E+01          3.59334816E+01
       2044.0010          3.59334863E+01          3.59334863E+01
       2100.0000          3.60704170E+01          3.60704170E+01
       2118.9990          3.61188040E+01          3.61188040E+01
       2119.0010          3.61188092E+01          3.61188092E+01
       2200.0000          3.63351171E+01          3.63351171E+01
       2300.0000          3.66221463E+01          3.66221463E+01
       2400.0000          3.69280130E+01          3.69280130E+01
       2500.0000          3.72498238E+01          3.72498238E+01
       2553.9990          3.74293613E+01          3.74293613E+01
       2554.0010          3.74293680E+01          3.74293680E+01
       2600.0000          3.75851646E+01          3.75851646E+01
       2700.0000          3.79320088E+01          3.79320088E+01
       2800.0000          3.82886458E+01          3.82886458E+01
       2900.0000          3.86536240E+01          3.86536240E+01
       2911.9990          3.86979175E+01          3.86979175E+01
       2912.0010          3.86979249E+01          3.86979249E+01
       3000.0000          3.90257061E+01          3.90257061E+01
       3100.0000          3.94038328E+01          3.94038328E+01
       3174.9990          3.96908379E+01          3.96908379E+01
       3175.0010          3.96908456E+01          3.96908456E+01
       3200.0000          3.97870933E+01          3.97870933E+01
       3300.0000          4.01747023E+01          4.01747023E+01
       3400.0000          4.05659798E+01          4.05659798E+01
       3500.0000          4.09603356E+01          4.09603356E+01
       3600.0000          4.13572558E+01          4.13572558E+01
       3700.0000          4.17562918E+01          4.17562918E+01
       3800.0000          4.21570513E+01          4.21570513E+01
       3900.0000          4.25591902E+01          4.25591902E+01
       4000.0000          4.29624063E+01          4.29624063E+01
       4100.0000          4.33664338E+01          4.33664338E+01
       4200.0000          4.37710383E+01          4.37710383E+01
       4300.0000          4.41760130E+01          4.41760130E+01
       4400.0000          4.45811754E+01          4.45811754E+01
       4500.0000          4.49863638E+01          4.49863638E+01
       4600.0000          4.53914353E+01          4.53914353E+01
       4700.0000          4.57962634E+01          4.57962634E+01
       4800.0000          4.62007360E+01          4.62007360E+01
       4900.0000          4.66047537E+01          4.66047537E+01
       5000.0000          4.70082285E+01          4.70082285E+01
       5100.0000          4.74110826E+01          4.74110826E+01
       5200.0000          4.78132468E+01          4.78132468E+01
       5300.0000          4.82146601E+01          4.82146601E+01
       5400.0000          4.86152686E+01          4.86152686E+01
       5500.0000          4.90150248E+01          4.90150248E+01
       5600.0000          4.94138865E+01          4.94138865E+01
       5700.0000          4.98118171E+01          4.98118171E+01
       5800.0000          5.02087841E+01          5.02087841E+01
       5900.0000          5.06047594E+01          5.06047594E+01
       6000.0000          5.09997184E+01          5.09997184E+01
       6100.0000          5.13936398E+01          5.13936398E+01
       6200.0000          5.17865053E+01          5.17865053E+01
       6300.0000          5.21782991E+01          5.21782991E+01
       6400.0000          5.25690082E+01          5.25690082E+01
       6500.0000          5.29586212E+01          5.29586212E+01
       6600.0000          5.33471292E+01          5.33471292E+01
       6700.0000          5.37345247E+01          5.37345247E+01
       6800.0000          5.41208019E+01          5.41208019E+01
       6900.0000          5.45059563E+01          5.45059563E+01
       7000.0000          5.48899849E+01          5.48899849E+01
       7100.0000          5.52728858E+01          5.52728858E+01
       7200.0000          5.56546580E+01          5.56546580E+01
       7300.0000          5.60353016E+01          5.60353016E+01
       7400.0000          5.64148175E+01          5.64148175E+01
       7500.0000          5.67932073E+01          5.67932073E+01
       7600.0000          5.71704734E+01          5.71704734E+01
       7700.0000          5.75466188E+01          5.75466188E+01
       7800.0000          5.79216469E+01          5.79216469E+01
       7900.0000          5.82955619E+01          5.82955619E+01
       8000.0000          5.86683682E+01          5.86683682E+01
       8100.0000          5.90400706E+01          5.90400706E+01
       8200.0000          5.94106744E+01          5.94106744E+01
       8300.0000          5.97801852E+01          5.97801852E+01
       8400.0000          6.01486087E+01          6.01486087E+01
       8500.0000          6.05159511E+01          6.05159511E+01
       8600.0000          6.08822187E+01          6.08822187E+01
       8700.0000          6.12474179E+01          6.12474179E+01
       8800.0000          6.16115555E+01          6.16115555E+01
       8900.0000          6.19746382E+01          6.19746382E+01
       9000.0000          6.23366729E+01          6.23366729E+01
       9100.0000          6.26976669E+01          6.26976669E+01
       9200.0000          6.30576271E+01          6.30576271E+01
       9300.0000          6.34165608E+01          6.34165608E+01
       9400.0000          6.37744753E+01          6.37744753E+01
       9500.0000          6.41313779E+01          6.41313779E+01
       9600.0000          6.44872760E+01          6.44872760E+01
       9700.0000          6.48421769E+01          6.48421769E+01
       9800.0000          6.51960881E+01          6.51960881E+01
       9900.0000          6.55490171E+01          6.55490171E+01
      10000.0000          6.59009712E+01          6.59009712E+01
      11000.0000          6.93685151E+01          6.93685151E+01
      11218.9990          7.01157104E+01          7.01157104E+01
      11219.0010          7.01157172E+01          7.01157172E+01
      12000.0000          7.27465347E+01          7.27465347E+01
      12827.9990          7.54806181E+01          7.54806181E+01
      12828.0010          7.54806247E+01          7.54806247E+01
      13000.0000          7.60417850E+01          7.60417850E+01
      13421.9990          7.74090522E+01          7.74090522E+01
      13422.0010          7.74090586E+01          7.74090586E+01
      14000.0000          7.92604035E+01          7.92604035E+01
      15000.0000          8.24078989E+01          8.24078989E+01
      16000.0000          8.54891916E+01          8.54891916E+01
      17000.0000          8.85086725E+01          8.85086725E+01
      18000.0000          9.14702646E+01          9.14702646E+01
      19000.0000          9.43774803E+01          9.43774803E+01
      20000.0000          9.72334744E+01          9.72334744E+01
      21000.0000          1.00041088E+02          1.00041088E+02
      22000.0000          1.02802891E+02          1.02802891E+02
      23000.0000          1.05521213E+02          1.05521213E+02
      24000.0000          1.08198172E+02          1.08198172E+02
      25000.0000          1.10835704E+02          1.10835704E+02
      26000.0000          1.13435580E+02          1.13435580E+02
      27000.0000          1.15999425E+02          1.15999425E+02
      28000.0000          1.18528739E+02          1.18528739E+02
      29000.0000          1.21024903E+02          1.21024903E+02
      30000.0000          1.23489197E+02          1.23489197E+02
      31000.0000          1.25922809E+02          1.25922809E+02
      32000.0000          1.28326843E+02          1.28326843E+02
      33000.0000          1.30702328E+02          1.30702328E+02
      34000.0000          1.33050226E+02          1.33050226E+02
      35000.0000          1.35371437E+02          1.35371437E+02
      36000.0000          1.37666804E+02          1.37666804E+02
      37000.0000          1.39937120E+02          1.39937120E+02
      38000.0000          1.42183131E+02          1.42183131E+02
      39000.0000          1.44405540E+02          1.44405540E+02
      40000.0000          1.46605010E+02          1.46605010E+02
      41000.0000          1.48782168E+02          1.48782168E+02
      42000.0000          1.50937610E+02          1.50937610E+02
      43000.0000          1.53071897E+02          1.53071897E+02
      44000.0000          1.55185565E+02          1.55185565E+02
      45000.0000          1.57279123E+02          1.57279123E+02
      46000.0000          1.59353054E+02          1.59353054E+02
      47000.0000          1.61407818E+02          1.61407818E+02
      48000.0000          1.63443857E+02          1.63443857E+02
      49000.0000          1.65461590E+02          1.65461590E+02
      50000.0000          1.67461419E+02          1.67461419E+02
      76114.9990          2.14363257E+02          2.14363257E+02
      76115.0010          2.14363261E+02          2.14363261E+02
